hgnc_id	symbol	locus_group	entrez_id
HGNC:3242	EHD1	protein-coding gene	10938
HGNC:3243	EHD2	protein-coding gene	30846
HGNC:3244	EHD3	protein-coding gene	30845
HGNC:3245	EHD4	protein-coding gene	30844
HGNC:51418	EHD4-AS1	non-coding RNA	101928363
HGNC:3246	EHF	protein-coding gene	26298
HGNC:3247	EHHADH	protein-coding gene	1962
HGNC:44133	EHHADH-AS1	non-coding RNA	339926
HGNC:24650	EHMT1	protein-coding gene	79813
HGNC:14129	EHMT2	protein-coding gene	10919
HGNC:39751	EHMT2-AS1	non-coding RNA	106478954
HGNC:13276	EI24	protein-coding gene	9538
HGNC:44586	EI24P1	pseudogene	100129423
HGNC:44587	EI24P2	pseudogene	100129866
HGNC:44588	EI24P3	pseudogene	100131881
HGNC:44589	EI24P4	pseudogene	100420072
HGNC:44590	EI24P5	pseudogene	100533660
HGNC:1191	EID1	protein-coding gene	23741
HGNC:28292	EID2	protein-coding gene	163126
HGNC:26796	EID2B	protein-coding gene	126272
HGNC:32961	EID3	protein-coding gene	493861
HGNC:3249	EIF1	protein-coding gene	10209
HGNC:28147	EIF1AD	protein-coding gene	84285
HGNC:3250	EIF1AX	protein-coding gene	1964
HGNC:40208	EIF1AX-AS1	non-coding RNA	100874078
HGNC:19900	EIF1AXP1	pseudogene	280661
HGNC:44295	EIF1AXP2	pseudogene	106479036
HGNC:3252	EIF1AY	protein-coding gene	9086
HGNC:30792	EIF1B	protein-coding gene	10289
HGNC:44555	EIF1B-AS1	non-coding RNA	440952
HGNC:49614	EIF1P1	pseudogene	100505855
HGNC:49615	EIF1P2	pseudogene	100288425
HGNC:49616	EIF1P3	pseudogene	730144
HGNC:49617	EIF1P4	pseudogene	100130566
HGNC:49618	EIF1P5	pseudogene	106481690
HGNC:49619	EIF1P6	pseudogene	106480277
HGNC:49620	EIF1P7	pseudogene	106481691
HGNC:3254	EIF2A	protein-coding gene	83939
HGNC:24921	EIF2AK1	protein-coding gene	27102
HGNC:9437	EIF2AK2	protein-coding gene	5610
HGNC:3255	EIF2AK3	protein-coding gene	9451
HGNC:54066	EIF2AK3-DT	non-coding RNA	101928403
HGNC:19687	EIF2AK4	protein-coding gene	440275
HGNC:39495	EIF2AP1	pseudogene	100874393
HGNC:39496	EIF2AP2	pseudogene	100874394
HGNC:39497	EIF2AP3	pseudogene	100874395
HGNC:39498	EIF2AP4	pseudogene	100874401
HGNC:3257	EIF2B1	protein-coding gene	1967
HGNC:3258	EIF2B2	protein-coding gene	8892
HGNC:3259	EIF2B3	protein-coding gene	8891
HGNC:3260	EIF2B4	protein-coding gene	8890
HGNC:3261	EIF2B5	protein-coding gene	8893
HGNC:55202	EIF2B5-DT	non-coding RNA	105374249
HGNC:6583	EIF2D	protein-coding gene	1939
HGNC:3265	EIF2S1	protein-coding gene	1965
HGNC:3266	EIF2S2	protein-coding gene	8894
HGNC:20009	EIF2S2P1	pseudogene	319115
HGNC:24654	EIF2S2P2	pseudogene	347673
HGNC:31664	EIF2S2P3	pseudogene	283014
HGNC:37626	EIF2S2P4	pseudogene	728350
HGNC:37793	EIF2S2P5	pseudogene	347675
HGNC:37794	EIF2S2P6	pseudogene	100129629
HGNC:37795	EIF2S2P7	pseudogene	647016
HGNC:3267	EIF2S3	protein-coding gene	1968
HGNC:43863	EIF2S3B	protein-coding gene	255308
HGNC:3271	EIF3A	protein-coding gene	8661
HGNC:3280	EIF3B	protein-coding gene	8662
HGNC:3279	EIF3C	protein-coding gene	8663
HGNC:26347	EIF3CL	protein-coding gene	728689
HGNC:3278	EIF3D	protein-coding gene	8664
HGNC:3277	EIF3E	protein-coding gene	3646
HGNC:6102	EIF3EP1	pseudogene	3647
HGNC:37919	EIF3EP2	pseudogene	100132597
HGNC:37920	EIF3EP3	pseudogene	100462836
HGNC:37921	EIF3EP4	pseudogene	100422200
HGNC:3275	EIF3F	protein-coding gene	8665
HGNC:3276	EIF3FP1	pseudogene	54053
HGNC:28863	EIF3FP2	pseudogene	83880
HGNC:37625	EIF3FP3	pseudogene	339799
HGNC:3274	EIF3G	protein-coding gene	8666
HGNC:3273	EIF3H	protein-coding gene	8667
HGNC:3272	EIF3I	protein-coding gene	8668
HGNC:13277	EIF3IP1	pseudogene	442720
HGNC:3270	EIF3J	protein-coding gene	8669
HGNC:48616	EIF3J-DT	non-coding RNA	645212
HGNC:55005	EIF3JP1	pseudogene	117981790
HGNC:24656	EIF3K	protein-coding gene	27335
HGNC:44016	EIF3KP1	pseudogene	134505
HGNC:44017	EIF3KP2	pseudogene	100129045
HGNC:44018	EIF3KP3	pseudogene	645368
HGNC:18138	EIF3L	protein-coding gene	51386
HGNC:20010	EIF3LP1	pseudogene	319117
HGNC:24657	EIF3LP2	pseudogene	143341
HGNC:44976	EIF3LP3	pseudogene	340947
HGNC:24460	EIF3M	protein-coding gene	10480
HGNC:55006	EIF3MP1	pseudogene	266683
HGNC:3282	EIF4A1	protein-coding gene	1973
HGNC:3283	EIF4A1P1	pseudogene	54052
HGNC:23946	EIF4A1P2	pseudogene	359792
HGNC:37922	EIF4A1P3	pseudogene	100462824
HGNC:37923	EIF4A1P4	pseudogene	728698
HGNC:37924	EIF4A1P5	pseudogene	390394
HGNC:37925	EIF4A1P6	pseudogene	390407
HGNC:37926	EIF4A1P7	pseudogene	341784
HGNC:37927	EIF4A1P8	pseudogene	100289102
HGNC:37928	EIF4A1P9	pseudogene	642746
HGNC:37930	EIF4A1P10	pseudogene	100421533
HGNC:37932	EIF4A1P11	pseudogene	100130006
HGNC:37933	EIF4A1P12	pseudogene	100462830
HGNC:37934	EIF4A1P13	pseudogene	100462826
HGNC:3284	EIF4A2	protein-coding gene	1974
HGNC:37929	EIF4A2P1	pseudogene	646171
HGNC:45099	EIF4A2P2	pseudogene	100421579
HGNC:45100	EIF4A2P3	pseudogene	100133309
HGNC:45101	EIF4A2P4	pseudogene	286512
HGNC:45102	EIF4A2P5	pseudogene	106480446
HGNC:18683	EIF4A3	protein-coding gene	9775
HGNC:51460	EIF4A3P1	pseudogene	390843
HGNC:3285	EIF4B	protein-coding gene	1975
HGNC:19929	EIF4BP1	pseudogene	319118
HGNC:37935	EIF4BP2	pseudogene	100129337
HGNC:37936	EIF4BP3	pseudogene	100128771
HGNC:37937	EIF4BP4	pseudogene	100130064
HGNC:37938	EIF4BP5	pseudogene	100421528
HGNC:37939	EIF4BP6	pseudogene	645579
HGNC:37940	EIF4BP7	pseudogene	643873
HGNC:37941	EIF4BP8	pseudogene	339881
HGNC:37942	EIF4BP9	pseudogene	100129692
HGNC:3287	EIF4E	protein-coding gene	1977
HGNC:33179	EIF4E1B	protein-coding gene	253314
HGNC:3293	EIF4E2	protein-coding gene	9470
HGNC:16237	EIF4E2P1	pseudogene	128770
HGNC:51464	EIF4E2P2	pseudogene	645207
HGNC:31837	EIF4E3	protein-coding gene	317649
HGNC:3288	EIF4EBP1	protein-coding gene	1978
HGNC:20160	EIF4EBP1P1	pseudogene	326295
HGNC:44047	EIF4EBP1P2	pseudogene	768328
HGNC:3289	EIF4EBP2	protein-coding gene	1979
HGNC:16596	EIF4EBP2P1	pseudogene	170510
HGNC:49317	EIF4EBP2P2	pseudogene	100190923
HGNC:49318	EIF4EBP2P3	pseudogene	100190924
HGNC:3290	EIF4EBP3	protein-coding gene	8637
HGNC:16687	EIF4ENIF1	protein-coding gene	56478
HGNC:3292	EIF4EP1	pseudogene	1980
HGNC:32428	EIF4EP2	pseudogene	100131693
HGNC:51461	EIF4EP3	pseudogene	100132918
HGNC:51462	EIF4EP4	pseudogene	100421455
HGNC:51463	EIF4EP5	pseudogene	100131565
HGNC:3296	EIF4G1	protein-coding gene	1981
HGNC:3297	EIF4G2	protein-coding gene	1982
HGNC:3298	EIF4G3	protein-coding gene	8672
HGNC:12741	EIF4H	protein-coding gene	7458
HGNC:49035	EIF4HP1	pseudogene	401316
HGNC:49036	EIF4HP2	pseudogene	100421545
HGNC:3299	EIF5	protein-coding gene	1983
HGNC:3300	EIF5A	protein-coding gene	1984
HGNC:3301	EIF5A2	protein-coding gene	56648
HGNC:51467	EIF5A2P1	pseudogene	100506058
HGNC:17419	EIF5AL1	protein-coding gene	143244
HGNC:3303	EIF5AP2	pseudogene	1986
HGNC:3304	EIF5AP3	pseudogene	1987
HGNC:31442	EIF5AP4	pseudogene	642592
HGNC:30793	EIF5B	protein-coding gene	9669
HGNC:51465	EIF5P1	pseudogene	100421390
HGNC:51466	EIF5P2	pseudogene	100421391
HGNC:6159	EIF6	protein-coding gene	3692
HGNC:12383	EIPR1	protein-coding gene	7260
HGNC:41392	EIPR1-IT1	non-coding RNA	100874301
HGNC:14197	ELAC1	protein-coding gene	55520
HGNC:14198	ELAC2	protein-coding gene	60528
HGNC:3309	ELANE	protein-coding gene	1991
HGNC:29618	ELAPOR1	protein-coding gene	57535
HGNC:21945	ELAPOR2	protein-coding gene	222223
HGNC:3312	ELAVL1	protein-coding gene	1994
HGNC:3313	ELAVL2	protein-coding gene	1993
HGNC:3314	ELAVL3	protein-coding gene	1995
HGNC:3315	ELAVL4	protein-coding gene	1996
HGNC:40210	ELAVL4-AS1	non-coding RNA	107984955
HGNC:49511	ELDR	non-coding RNA	102725541
HGNC:3316	ELF1	protein-coding gene	1997
HGNC:3317	ELF2	protein-coding gene	1998
HGNC:33539	ELF2P1	pseudogene	100101917
HGNC:24610	ELF2P2	pseudogene	260335
HGNC:24611	ELF2P3	pseudogene	260336
HGNC:33540	ELF2P4	pseudogene	644935
HGNC:3318	ELF3	protein-coding gene	1999
HGNC:40211	ELF3-AS1	non-coding RNA	102723465
HGNC:3319	ELF4	protein-coding gene	2000
HGNC:3320	ELF5	protein-coding gene	2001
HGNC:33154	ELFN1	protein-coding gene	392617
HGNC:39071	ELFN1-AS1	non-coding RNA	101927125
HGNC:29396	ELFN2	protein-coding gene	114794
HGNC:3321	ELK1	protein-coding gene	2002
HGNC:39021	ELK1P1	pseudogene	647102
HGNC:3323	ELK2AP	pseudogene	2003
HGNC:3324	ELK2BP	pseudogene	9995
HGNC:3325	ELK3	protein-coding gene	2004
HGNC:3326	ELK4	protein-coding gene	2005
HGNC:23114	ELL	protein-coding gene	8178
HGNC:17064	ELL2	protein-coding gene	22936
HGNC:39343	ELL2P1	pseudogene	646270
HGNC:39344	ELL2P2	pseudogene	100421143
HGNC:39345	ELL2P3	pseudogene	100533713
HGNC:39346	ELL2P4	pseudogene	100128690
HGNC:23113	ELL3	protein-coding gene	80237
HGNC:16286	ELMO1	protein-coding gene	9844
HGNC:40765	ELMO1-AS1	non-coding RNA	100861514
HGNC:17233	ELMO2	protein-coding gene	63916
HGNC:38008	ELMO2P1	pseudogene	729894
HGNC:17289	ELMO3	protein-coding gene	79767
HGNC:25334	ELMOD1	protein-coding gene	55531
HGNC:28111	ELMOD2	protein-coding gene	255520
HGNC:26158	ELMOD3	protein-coding gene	84173
HGNC:3327	ELN	protein-coding gene	2006
HGNC:40212	ELN-AS1	non-coding RNA	107986809
HGNC:11620	ELOA	protein-coding gene	6924
HGNC:50582	ELOA-AS1	non-coding RNA	100506963
HGNC:30771	ELOA2	protein-coding gene	51224
HGNC:31007	ELOA3BP	pseudogene	728929
HGNC:52410	ELOA3CP	pseudogene	107983955
HGNC:33511	ELOA3DP	pseudogene	100506888
HGNC:24617	ELOA3P	pseudogene	162699
HGNC:54534	ELOAP1	pseudogene	100422580
HGNC:11619	ELOB	protein-coding gene	6923
HGNC:39719	ELOBP1	pseudogene	246717
HGNC:39720	ELOBP2	pseudogene	253665
HGNC:39721	ELOBP3	pseudogene	100856810
HGNC:39722	ELOBP4	pseudogene	100874519
HGNC:11617	ELOC	protein-coding gene	6921
HGNC:17762	ELOCP2	pseudogene	283747
HGNC:29457	ELOCP3	pseudogene	644540
HGNC:38141	ELOCP4	pseudogene	100462873
HGNC:38140	ELOCP5	pseudogene	100288493
HGNC:38142	ELOCP6	pseudogene	100462867
HGNC:38143	ELOCP7	pseudogene	100462868
HGNC:38144	ELOCP8	pseudogene	100462869
HGNC:38145	ELOCP9	pseudogene	100462870
HGNC:38146	ELOCP10	pseudogene	100462871
HGNC:38147	ELOCP11	pseudogene	100462872
HGNC:38148	ELOCP12	pseudogene	100462874
HGNC:38149	ELOCP13	pseudogene	100462875
HGNC:38150	ELOCP14	pseudogene	100462876
HGNC:38151	ELOCP15	pseudogene	100462877
HGNC:38152	ELOCP16	pseudogene	100462878
HGNC:38153	ELOCP17	pseudogene	100462879
