hgnc_id	symbol	locus_group	entrez_id
HGNC:5	A1BG	protein-coding gene	1
HGNC:37133	A1BG-AS1	non-coding RNA	503538
HGNC:24086	A1CF	protein-coding gene	29974
HGNC:7	A2M	protein-coding gene	2
HGNC:27057	A2M-AS1	non-coding RNA	144571
HGNC:23336	A2ML1	protein-coding gene	144568
HGNC:41022	A2ML1-AS1	non-coding RNA	100874108
HGNC:41523	A2ML1-AS2	non-coding RNA	106478979
HGNC:8	A2MP1	pseudogene	3
HGNC:30005	A3GALT2	protein-coding gene	127550
HGNC:18149	A4GALT	protein-coding gene	53947
HGNC:17968	A4GNT	protein-coding gene	51146
HGNC:13666	AAAS	protein-coding gene	8086
HGNC:21298	AACS	protein-coding gene	65985
HGNC:18226	AACSP1	pseudogene	729522
HGNC:17	AADAC	protein-coding gene	13
HGNC:24427	AADACL2	protein-coding gene	344752
HGNC:50301	AADACL2-AS1	non-coding RNA	101928142
HGNC:32037	AADACL3	protein-coding gene	126767
HGNC:32038	AADACL4	protein-coding gene	343066
HGNC:50305	AADACP1	pseudogene	201651
HGNC:17929	AADAT	protein-coding gene	51166
HGNC:25662	AAGAB	protein-coding gene	79719
HGNC:19679	AAK1	protein-coding gene	22848
HGNC:30205	AAMDC	protein-coding gene	28971
HGNC:18	AAMP	protein-coding gene	14
HGNC:19	AANAT	protein-coding gene	15
HGNC:15886	AAR2	protein-coding gene	25980
HGNC:33842	AARD	protein-coding gene	441376
HGNC:20	AARS1	protein-coding gene	16
HGNC:49894	AARS1P1	pseudogene	106480683
HGNC:21022	AARS2	protein-coding gene	57505
HGNC:28417	AARSD1	protein-coding gene	80755
HGNC:54994	AARSD1P1	pseudogene	117981788
HGNC:23993	AASDH	protein-coding gene	132949
HGNC:14235	AASDHPPT	protein-coding gene	60496
HGNC:17366	AASS	protein-coding gene	10157
HGNC:51526	AATBC	non-coding RNA	284837
HGNC:19235	AATF	protein-coding gene	26574
HGNC:21	AATK	protein-coding gene	9625
HGNC:22	AAVS1	other	17
HGNC:49667	ABALON	non-coding RNA	103021294
HGNC:23	ABAT	protein-coding gene	18
HGNC:29	ABCA1	protein-coding gene	19
HGNC:32	ABCA2	protein-coding gene	20
HGNC:33	ABCA3	protein-coding gene	21
HGNC:34	ABCA4	protein-coding gene	24
HGNC:35	ABCA5	protein-coding gene	23461
HGNC:36	ABCA6	protein-coding gene	23460
HGNC:37	ABCA7	protein-coding gene	10347
HGNC:38	ABCA8	protein-coding gene	10351
HGNC:39	ABCA9	protein-coding gene	10350
HGNC:39983	ABCA9-AS1	non-coding RNA	104355297
HGNC:30	ABCA10	protein-coding gene	10349
HGNC:31	ABCA11P	pseudogene	79963
HGNC:14637	ABCA12	protein-coding gene	26154
HGNC:14638	ABCA13	protein-coding gene	154664
HGNC:32972	ABCA17P	pseudogene	650655
HGNC:40	ABCB1	protein-coding gene	5243
HGNC:45	ABCB4	protein-coding gene	5244
HGNC:46	ABCB5	protein-coding gene	340273
HGNC:47	ABCB6	protein-coding gene	10058
HGNC:48	ABCB7	protein-coding gene	22
HGNC:49	ABCB8	protein-coding gene	11194
HGNC:50	ABCB9	protein-coding gene	23457
HGNC:41	ABCB10	protein-coding gene	23456
HGNC:14114	ABCB10P1	pseudogene	56476
HGNC:31129	ABCB10P3	pseudogene	728248
HGNC:31130	ABCB10P4	pseudogene	100132289
HGNC:42	ABCB11	protein-coding gene	8647
HGNC:51	ABCC1	protein-coding gene	4363
HGNC:53	ABCC2	protein-coding gene	1244
HGNC:54	ABCC3	protein-coding gene	8714
HGNC:55	ABCC4	protein-coding gene	10257
HGNC:56	ABCC5	protein-coding gene	10057
HGNC:40055	ABCC5-AS1	non-coding RNA	100873982
HGNC:57	ABCC6	protein-coding gene	368
HGNC:33352	ABCC6P1	pseudogene	653190
HGNC:33353	ABCC6P2	pseudogene	730013
HGNC:59	ABCC8	protein-coding gene	6833
HGNC:60	ABCC9	protein-coding gene	10060
HGNC:52	ABCC10	protein-coding gene	89845
HGNC:14639	ABCC11	protein-coding gene	85320
HGNC:14640	ABCC12	protein-coding gene	94160
HGNC:16022	ABCC13	pseudogene	150000
HGNC:61	ABCD1	protein-coding gene	215
HGNC:62	ABCD1P1	pseudogene	23785
HGNC:63	ABCD1P2	pseudogene	26983
HGNC:64	ABCD1P3	pseudogene	26982
HGNC:65	ABCD1P4	pseudogene	26957
HGNC:42662	ABCD1P5	pseudogene	642762
HGNC:66	ABCD2	protein-coding gene	225
HGNC:67	ABCD3	protein-coding gene	5825
HGNC:68	ABCD4	protein-coding gene	5826
HGNC:69	ABCE1	protein-coding gene	6059
HGNC:70	ABCF1	protein-coding gene	23
HGNC:53628	ABCF1-DT	non-coding RNA	107986587
HGNC:71	ABCF2	protein-coding gene	10061
HGNC:54751	ABCF2-H2BE1	other	114483834
HGNC:48841	ABCF2P1	pseudogene	344653
HGNC:48842	ABCF2P2	pseudogene	100422059
HGNC:72	ABCF3	protein-coding gene	55324
HGNC:73	ABCG1	protein-coding gene	9619
HGNC:74	ABCG2	protein-coding gene	9429
HGNC:13884	ABCG4	protein-coding gene	64137
HGNC:13886	ABCG5	protein-coding gene	64240
HGNC:13887	ABCG8	protein-coding gene	64241
HGNC:17553	ABHD1	protein-coding gene	84696
HGNC:18717	ABHD2	protein-coding gene	11057
HGNC:18718	ABHD3	protein-coding gene	171586
HGNC:20154	ABHD4	protein-coding gene	63874
HGNC:21396	ABHD5	protein-coding gene	51099
HGNC:21398	ABHD6	protein-coding gene	57406
HGNC:23759	ABHD8	protein-coding gene	79575
HGNC:25656	ABHD10	protein-coding gene	55347
HGNC:16407	ABHD11	protein-coding gene	83451
HGNC:18289	ABHD11-AS1	non-coding RNA	171022
HGNC:15868	ABHD12	protein-coding gene	26090
HGNC:19837	ABHD12B	protein-coding gene	145447
HGNC:20293	ABHD13	protein-coding gene	84945
HGNC:24538	ABHD14A	protein-coding gene	25864
HGNC:38856	ABHD14A-ACY1	other	100526760
HGNC:28235	ABHD14B	protein-coding gene	84836
HGNC:26971	ABHD15	protein-coding gene	116236
HGNC:49685	ABHD15-AS1	non-coding RNA	104355133
HGNC:13921	ABHD16A	protein-coding gene	7920
HGNC:16128	ABHD16B	protein-coding gene	140701
HGNC:28756	ABHD17A	protein-coding gene	81926
HGNC:28394	ABHD17AP1	pseudogene	728917
HGNC:34041	ABHD17AP3	pseudogene	648359
HGNC:34042	ABHD17AP4	pseudogene	729495
HGNC:34043	ABHD17AP5	pseudogene	91219
HGNC:34044	ABHD17AP6	pseudogene	644988
HGNC:38508	ABHD17AP7	pseudogene	100133212
HGNC:38509	ABHD17AP8	pseudogene	647144
HGNC:38510	ABHD17AP9	pseudogene	100132251
HGNC:24278	ABHD17B	protein-coding gene	51104
HGNC:26925	ABHD17C	protein-coding gene	58489
HGNC:26111	ABHD18	protein-coding gene	80167
HGNC:11320	ABI1	protein-coding gene	10006
HGNC:20035	ABI1P1	pseudogene	326268
HGNC:24011	ABI2	protein-coding gene	10152
HGNC:29859	ABI3	protein-coding gene	51225
HGNC:17265	ABI3BP	protein-coding gene	25890
HGNC:1364	ABITRAM	protein-coding gene	54942
HGNC:39851	ABITRAMP1	pseudogene	390403
HGNC:76	ABL1	protein-coding gene	25
HGNC:77	ABL2	protein-coding gene	27
HGNC:78	ABLIM1	protein-coding gene	3983
HGNC:19195	ABLIM2	protein-coding gene	84448
HGNC:29132	ABLIM3	protein-coding gene	22885
HGNC:79	ABO	protein-coding gene	28
HGNC:81	ABR	protein-coding gene	29
HGNC:30655	ABRA	protein-coding gene	137735
HGNC:21230	ABRACL	protein-coding gene	58527
HGNC:25829	ABRAXAS1	protein-coding gene	84142
HGNC:28975	ABRAXAS2	protein-coding gene	23172
HGNC:17369	ABT1	protein-coding gene	29777
HGNC:39557	ABT1P1	pseudogene	100420695
HGNC:18275	ABTB1	protein-coding gene	80325
HGNC:23842	ABTB2	protein-coding gene	25841
HGNC:82	ACAA1	protein-coding gene	30
HGNC:83	ACAA2	protein-coding gene	10449
HGNC:84	ACACA	protein-coding gene	31
HGNC:85	ACACB	protein-coding gene	32
HGNC:87	ACAD8	protein-coding gene	27034
HGNC:21497	ACAD9	protein-coding gene	28976
HGNC:21597	ACAD10	protein-coding gene	80724
HGNC:30211	ACAD11	protein-coding gene	84129
HGNC:88	ACADL	protein-coding gene	33
HGNC:89	ACADM	protein-coding gene	34
HGNC:90	ACADS	protein-coding gene	35
HGNC:91	ACADSB	protein-coding gene	36
HGNC:92	ACADVL	protein-coding gene	37
HGNC:319	ACAN	protein-coding gene	176
HGNC:16467	ACAP1	protein-coding gene	9744
HGNC:16469	ACAP2	protein-coding gene	23527
HGNC:41426	ACAP2-IT1	non-coding RNA	100874306
HGNC:16754	ACAP3	protein-coding gene	116983
HGNC:93	ACAT1	protein-coding gene	38
HGNC:94	ACAT2	protein-coding gene	39
HGNC:15453	ACBD3	protein-coding gene	64746
HGNC:40701	ACBD3-AS1	non-coding RNA	107985353
HGNC:23337	ACBD4	protein-coding gene	79777
HGNC:23338	ACBD5	protein-coding gene	91452
HGNC:23339	ACBD6	protein-coding gene	84320
HGNC:17715	ACBD7	protein-coding gene	414149
HGNC:23989	ACCS	protein-coding gene	84680
HGNC:34391	ACCSL	protein-coding gene	390110
HGNC:25070	ACD	protein-coding gene	65057
HGNC:2707	ACE	protein-coding gene	1636
HGNC:13557	ACE2	protein-coding gene	59272
HGNC:44365	ACE3P	pseudogene	100129123
HGNC:18356	ACER1	protein-coding gene	125981
HGNC:23675	ACER2	protein-coding gene	340485
HGNC:54674	ACER2P1	pseudogene	645978
HGNC:16066	ACER3	protein-coding gene	55331
HGNC:108	ACHE	protein-coding gene	43
HGNC:17066	ACIN1	protein-coding gene	22985
HGNC:4035	ACKR1	protein-coding gene	2532
HGNC:1565	ACKR2	protein-coding gene	1238
HGNC:23692	ACKR3	protein-coding gene	57007
HGNC:1611	ACKR4	protein-coding gene	51554
HGNC:21142	ACKR4P1	pseudogene	285737
HGNC:115	ACLY	protein-coding gene	47
HGNC:19288	ACMSD	protein-coding gene	130013
HGNC:34504	ACNATP	pseudogene	347275
HGNC:117	ACO1	protein-coding gene	48
HGNC:118	ACO2	protein-coding gene	50
HGNC:33904	ACOD1	protein-coding gene	730249
HGNC:33128	ACOT1	protein-coding gene	641371
HGNC:18431	ACOT2	protein-coding gene	10965
HGNC:19748	ACOT4	protein-coding gene	122970
HGNC:33159	ACOT6	protein-coding gene	641372
HGNC:24157	ACOT7	protein-coding gene	11332
HGNC:15919	ACOT8	protein-coding gene	10005
HGNC:17152	ACOT9	protein-coding gene	23597
HGNC:18156	ACOT11	protein-coding gene	26027
HGNC:24436	ACOT12	protein-coding gene	134526
HGNC:20999	ACOT13	protein-coding gene	55856
HGNC:119	ACOX1	protein-coding gene	51
HGNC:120	ACOX2	protein-coding gene	8309
HGNC:121	ACOX3	protein-coding gene	8310
HGNC:25621	ACOXL	protein-coding gene	55289
HGNC:41112	ACOXL-AS1	non-coding RNA	400997
HGNC:122	ACP1	protein-coding gene	52
HGNC:123	ACP2	protein-coding gene	53
HGNC:125	ACP3	protein-coding gene	55
HGNC:14376	ACP4	protein-coding gene	93650
HGNC:124	ACP5	protein-coding gene	54
HGNC:29609	ACP6	protein-coding gene	51205
HGNC:33781	ACP7	protein-coding gene	390928
HGNC:126	ACR	protein-coding gene	49
HGNC:17195	ACRBP	protein-coding gene	84519
HGNC:54745	ACRP1	pseudogene	645529
HGNC:127	ACRV1	protein-coding gene	56
HGNC:29567	ACSBG1	protein-coding gene	23205
HGNC:24174	ACSBG2	protein-coding gene	81616
HGNC:26101	ACSF2	protein-coding gene	80221
HGNC:27288	ACSF3	protein-coding gene	197322
HGNC:3569	ACSL1	protein-coding gene	2180
HGNC:3570	ACSL3	protein-coding gene	2181
HGNC:40227	ACSL3-AS1	non-coding RNA	105373904
HGNC:3571	ACSL4	protein-coding gene	2182
HGNC:16526	ACSL5	protein-coding gene	51703
HGNC:16496	ACSL6	protein-coding gene	23305
HGNC:40772	ACSL6-AS1	non-coding RNA	101927693
HGNC:18049	ACSM1	protein-coding gene	116285
HGNC:32017	ACSM2A	protein-coding gene	123876
HGNC:30931	ACSM2B	protein-coding gene	348158
HGNC:10522	ACSM3	protein-coding gene	6296
HGNC:32016	ACSM4	protein-coding gene	341392
HGNC:26060	ACSM5	protein-coding gene	54988
HGNC:51295	ACSM5P1	pseudogene	100421779
HGNC:31665	ACSM6	protein-coding gene	142827
HGNC:16091	ACSS1	protein-coding gene	84532
HGNC:15814	ACSS2	protein-coding gene	55902
HGNC:24723	ACSS3	protein-coding gene	79611
HGNC:129	ACTA1	protein-coding gene	58
HGNC:130	ACTA2	protein-coding gene	59
HGNC:45169	ACTA2-AS1	non-coding RNA	100132116
HGNC:132	ACTB	protein-coding gene	60
HGNC:17780	ACTBL2	protein-coding gene	345651
HGNC:134	ACTBP1	pseudogene	643309
HGNC:135	ACTBP2	pseudogene	62
HGNC:136	ACTBP3	pseudogene	63
HGNC:137	ACTBP4	pseudogene	64
HGNC:139	ACTBP6	pseudogene	66
HGNC:140	ACTBP7	pseudogene	67
HGNC:141	ACTBP8	pseudogene	68
HGNC:142	ACTBP9	pseudogene	69
HGNC:31819	ACTBP10	pseudogene	446207
HGNC:33971	ACTBP11	pseudogene	644220
HGNC:150	ACTBP12	pseudogene	100462767
HGNC:45086	ACTBP14	pseudogene	389976
HGNC:55065	ACTBP15	pseudogene	391334
HGNC:143	ACTC1	protein-coding gene	70
HGNC:51491	ACTE1P	pseudogene	399923
HGNC:144	ACTG1	protein-coding gene	71
HGNC:146	ACTG1P1	pseudogene	73
HGNC:147	ACTG1P2	pseudogene	74
HGNC:148	ACTG1P3	pseudogene	75
HGNC:149	ACTG1P4	pseudogene	648740
HGNC:151	ACTG1P6	pseudogene	78
HGNC:152	ACTG1P7	pseudogene	79
HGNC:153	ACTG1P8	pseudogene	80
HGNC:154	ACTG1P9	pseudogene	82
HGNC:155	ACTG1P10	pseudogene	83
HGNC:37651	ACTG1P11	pseudogene	414754
HGNC:44496	ACTG1P12	pseudogene	100418921
HGNC:49058	ACTG1P13	pseudogene	100418920
HGNC:49751	ACTG1P14	pseudogene	100418910
HGNC:51495	ACTG1P15	pseudogene	100418951
HGNC:51496	ACTG1P16	pseudogene	100418960
HGNC:51497	ACTG1P17	pseudogene	283693
HGNC:51498	ACTG1P18	pseudogene	100418924
HGNC:51499	ACTG1P19	pseudogene	644160
HGNC:51500	ACTG1P20	pseudogene	644961
HGNC:51501	ACTG1P21	pseudogene	100131291
HGNC:51502	ACTG1P22	pseudogene	100131953
HGNC:51503	ACTG1P23	pseudogene	442097
HGNC:49661	ACTG1P24	pseudogene	441783
HGNC:54872	ACTG1P25	pseudogene	148709
HGNC:145	ACTG2	protein-coding gene	72
HGNC:24124	ACTL6A	protein-coding gene	86
HGNC:160	ACTL6B	protein-coding gene	51412
HGNC:161	ACTL7A	protein-coding gene	10881
HGNC:162	ACTL7B	protein-coding gene	10880
HGNC:24018	ACTL8	protein-coding gene	81569
HGNC:28494	ACTL9	protein-coding gene	284382
HGNC:16127	ACTL10	protein-coding gene	170487
HGNC:44626	ACTL11P	pseudogene	389120
HGNC:163	ACTN1	protein-coding gene	87
HGNC:20131	ACTN1-AS1	non-coding RNA	161159
HGNC:164	ACTN2	protein-coding gene	88
HGNC:165	ACTN3	protein-coding gene	89
HGNC:166	ACTN4	protein-coding gene	81
HGNC:44028	ACTN4P1	pseudogene	344978
HGNC:44032	ACTN4P2	pseudogene	391026
HGNC:51621	ACTP1	pseudogene	106480335
HGNC:167	ACTR1A	protein-coding gene	10121
HGNC:54703	ACTR1AP1	pseudogene	100287074
HGNC:168	ACTR1B	protein-coding gene	10120
HGNC:169	ACTR2	protein-coding gene	10097
HGNC:170	ACTR3	protein-coding gene	10096
HGNC:53965	ACTR3-AS1	non-coding RNA	101060091
HGNC:17256	ACTR3B	protein-coding gene	57180
HGNC:37724	ACTR3BP1	pseudogene	643050
HGNC:38677	ACTR3BP2	pseudogene	440888
HGNC:38678	ACTR3BP3	pseudogene	647156
HGNC:38681	ACTR3BP4	pseudogene	777774
HGNC:38682	ACTR3BP5	pseudogene	399746
HGNC:38683	ACTR3BP6	pseudogene	644773
HGNC:54971	ACTR3BP7	pseudogene	100289004
HGNC:37282	ACTR3C	protein-coding gene	653857
HGNC:31820	ACTR3P1	pseudogene	100288580
HGNC:38676	ACTR3P2	pseudogene	100129013
HGNC:38679	ACTR3P3	pseudogene	100128020
HGNC:14671	ACTR5	protein-coding gene	79913
HGNC:24025	ACTR6	protein-coding gene	64431
HGNC:44210	ACTR6P1	pseudogene	100421495
HGNC:14672	ACTR8	protein-coding gene	93973
HGNC:17372	ACTR10	protein-coding gene	55860
HGNC:24027	ACTRT1	protein-coding gene	139741
HGNC:55127	ACTRT1P1	pseudogene	100128268
HGNC:24026	ACTRT2	protein-coding gene	140625
HGNC:24022	ACTRT3	protein-coding gene	84517
HGNC:171	ACVR1	protein-coding gene	90
HGNC:172	ACVR1B	protein-coding gene	91
HGNC:18123	ACVR1C	protein-coding gene	130399
HGNC:173	ACVR2A	protein-coding gene	92
HGNC:174	ACVR2B	protein-coding gene	93
HGNC:44161	ACVR2B-AS1	non-coding RNA	100128640
HGNC:175	ACVRL1	protein-coding gene	94
HGNC:177	ACY1	protein-coding gene	95
HGNC:24104	ACY3	protein-coding gene	91703
HGNC:179	ACYP1	protein-coding gene	97
HGNC:180	ACYP2	protein-coding gene	98
HGNC:186	ADA	protein-coding gene	100
HGNC:1839	ADA2	protein-coding gene	51816
HGNC:30713	ADAD1	protein-coding gene	132612
HGNC:44550	ADAD1P1	pseudogene	100422386
HGNC:44552	ADAD1P2	pseudogene	100422407
HGNC:30714	ADAD2	protein-coding gene	161931
HGNC:31853	ADAL	protein-coding gene	161823
HGNC:187	ADAM1A	pseudogene	8759
HGNC:44366	ADAM1B	pseudogene	100420505
HGNC:198	ADAM2	protein-coding gene	2515
HGNC:209	ADAM3A	pseudogene	1587
HGNC:210	ADAM3B	pseudogene	1596
HGNC:212	ADAM5	pseudogene	255926
HGNC:213	ADAM6	pseudogene	8755
HGNC:214	ADAM7	protein-coding gene	8756
HGNC:215	ADAM8	protein-coding gene	101
HGNC:216	ADAM9	protein-coding gene	8754
HGNC:188	ADAM10	protein-coding gene	102
HGNC:189	ADAM11	protein-coding gene	4185
HGNC:190	ADAM12	protein-coding gene	8038
HGNC:193	ADAM15	protein-coding gene	8751
HGNC:195	ADAM17	protein-coding gene	6868
HGNC:196	ADAM18	protein-coding gene	8749
HGNC:197	ADAM19	protein-coding gene	8728
HGNC:199	ADAM20	protein-coding gene	8748
HGNC:20102	ADAM20P1	pseudogene	317760
HGNC:43901	ADAM20P2	pseudogene	100533671
HGNC:43902	ADAM20P3	pseudogene	644325
HGNC:200	ADAM21	protein-coding gene	8747
HGNC:19822	ADAM21P1	pseudogene	145241
HGNC:201	ADAM22	protein-coding gene	53616
HGNC:202	ADAM23	protein-coding gene	8745
HGNC:203	ADAM24P	pseudogene	646479
HGNC:206	ADAM28	protein-coding gene	10863
HGNC:207	ADAM29	protein-coding gene	11086
HGNC:208	ADAM30	protein-coding gene	11085
HGNC:15479	ADAM32	protein-coding gene	203102
HGNC:15478	ADAM33	protein-coding gene	80332
HGNC:16299	ADAMDEC1	protein-coding gene	27299
HGNC:217	ADAMTS1	protein-coding gene	9510
HGNC:218	ADAMTS2	protein-coding gene	9509
HGNC:219	ADAMTS3	protein-coding gene	9508
HGNC:220	ADAMTS4	protein-coding gene	9507
HGNC:221	ADAMTS5	protein-coding gene	11096
HGNC:222	ADAMTS6	protein-coding gene	11174
HGNC:223	ADAMTS7	protein-coding gene	11173
HGNC:49407	ADAMTS7P1	pseudogene	390660
HGNC:49409	ADAMTS7P3	pseudogene	400406
HGNC:49410	ADAMTS7P4	pseudogene	642935
HGNC:224	ADAMTS8	protein-coding gene	11095
HGNC:13202	ADAMTS9	protein-coding gene	56999
HGNC:40625	ADAMTS9-AS1	non-coding RNA	101929335
HGNC:42435	ADAMTS9-AS2	non-coding RNA	100507098
HGNC:13201	ADAMTS10	protein-coding gene	81794
HGNC:14605	ADAMTS12	protein-coding gene	81792
HGNC:1366	ADAMTS13	protein-coding gene	11093
HGNC:14899	ADAMTS14	protein-coding gene	140766
HGNC:16305	ADAMTS15	protein-coding gene	170689
HGNC:17108	ADAMTS16	protein-coding gene	170690
HGNC:17109	ADAMTS17	protein-coding gene	170691
HGNC:17110	ADAMTS18	protein-coding gene	170692
HGNC:17111	ADAMTS19	protein-coding gene	171019
HGNC:40797	ADAMTS19-AS1	non-coding RNA	103689846
HGNC:17178	ADAMTS20	protein-coding gene	80070
HGNC:14632	ADAMTSL1	protein-coding gene	92949
HGNC:14631	ADAMTSL2	protein-coding gene	9719
HGNC:14633	ADAMTSL3	protein-coding gene	57188
HGNC:19706	ADAMTSL4	protein-coding gene	54507
HGNC:32041	ADAMTSL4-AS1	non-coding RNA	574406
HGNC:40895	ADAMTSL4-AS2	non-coding RNA	100289061
HGNC:27912	ADAMTSL5	protein-coding gene	339366
HGNC:16486	ADAP1	protein-coding gene	11033
HGNC:16487	ADAP2	protein-coding gene	55803
HGNC:225	ADAR	protein-coding gene	103
HGNC:226	ADARB1	protein-coding gene	104
HGNC:227	ADARB2	protein-coding gene	105
HGNC:23299	ADARB2-AS1	non-coding RNA	642394
HGNC:228	ADAT1	protein-coding gene	23536
HGNC:21172	ADAT2	protein-coding gene	134637
HGNC:25151	ADAT3	protein-coding gene	113179
HGNC:19038	ADCK1	protein-coding gene	57143
HGNC:19039	ADCK2	protein-coding gene	90956
HGNC:21738	ADCK5	protein-coding gene	203054
HGNC:229	ADCP1	other	106
HGNC:232	ADCY1	protein-coding gene	107
HGNC:233	ADCY2	protein-coding gene	108
HGNC:234	ADCY3	protein-coding gene	109
HGNC:235	ADCY4	protein-coding gene	196883
HGNC:236	ADCY5	protein-coding gene	111
HGNC:237	ADCY6	protein-coding gene	112
HGNC:53332	ADCY6-DT	non-coding RNA	100506125
HGNC:238	ADCY7	protein-coding gene	113
HGNC:239	ADCY8	protein-coding gene	114
HGNC:240	ADCY9	protein-coding gene	115
HGNC:21285	ADCY10	protein-coding gene	55811
HGNC:44143	ADCY10P1	pseudogene	221442
HGNC:241	ADCYAP1	protein-coding gene	116
HGNC:242	ADCYAP1R1	protein-coding gene	117
HGNC:243	ADD1	protein-coding gene	118
HGNC:244	ADD2	protein-coding gene	119
HGNC:245	ADD3	protein-coding gene	120
HGNC:48682	ADD3-AS1	non-coding RNA	100505933
HGNC:21212	ADGB	protein-coding gene	79747
HGNC:13838	ADGRA1	protein-coding gene	84435
HGNC:49543	ADGRA1-AS1	non-coding RNA	100128127
HGNC:17849	ADGRA2	protein-coding gene	25960
HGNC:13839	ADGRA3	protein-coding gene	166647
HGNC:943	ADGRB1	protein-coding gene	575
HGNC:944	ADGRB2	protein-coding gene	576
HGNC:945	ADGRB3	protein-coding gene	577
HGNC:19893	ADGRD1	protein-coding gene	283383
HGNC:53314	ADGRD1-AS1	non-coding RNA	105755954
HGNC:18651	ADGRD2	protein-coding gene	347088
HGNC:3336	ADGRE1	protein-coding gene	2015
HGNC:3337	ADGRE2	protein-coding gene	30817
HGNC:23647	ADGRE3	protein-coding gene	84658
HGNC:19240	ADGRE4P	pseudogene	326342
HGNC:1711	ADGRE5	protein-coding gene	976
HGNC:18990	ADGRF1	protein-coding gene	266977
HGNC:18991	ADGRF2	protein-coding gene	222611
HGNC:18989	ADGRF3	protein-coding gene	165082
HGNC:19011	ADGRF4	protein-coding gene	221393
HGNC:19030	ADGRF5	protein-coding gene	221395
HGNC:40864	ADGRF5-AS1	non-coding RNA	101926962
HGNC:32922	ADGRF5P1	pseudogene	389740
HGNC:32921	ADGRF5P2	pseudogene	441416
HGNC:4512	ADGRG1	protein-coding gene	9289
HGNC:4516	ADGRG2	protein-coding gene	10149
HGNC:13728	ADGRG3	protein-coding gene	222487
HGNC:18992	ADGRG4	protein-coding gene	139378
HGNC:19010	ADGRG5	protein-coding gene	221188
HGNC:13841	ADGRG6	protein-coding gene	57211
HGNC:19241	ADGRG7	protein-coding gene	84873
HGNC:20973	ADGRL1	protein-coding gene	22859
HGNC:55309	ADGRL1-AS1	non-coding RNA	100507373
HGNC:18582	ADGRL2	protein-coding gene	23266
HGNC:20974	ADGRL3	protein-coding gene	23284
HGNC:50604	ADGRL3-AS1	non-coding RNA	101927186
HGNC:20822	ADGRL4	protein-coding gene	64123
HGNC:17416	ADGRV1	protein-coding gene	84059
HGNC:249	ADH1A	protein-coding gene	124
HGNC:250	ADH1B	protein-coding gene	125
HGNC:251	ADH1C	protein-coding gene	126
HGNC:252	ADH4	protein-coding gene	127
HGNC:253	ADH5	protein-coding gene	128
HGNC:22976	ADH5P2	pseudogene	343296
HGNC:22991	ADH5P3	pseudogene	100131810
HGNC:21377	ADH5P4	pseudogene	642443
HGNC:54523	ADH5P5	pseudogene	115945146
HGNC:255	ADH6	protein-coding gene	130
HGNC:256	ADH7	protein-coding gene	131
HGNC:16354	ADHFE1	protein-coding gene	137872
HGNC:30576	ADI1	protein-coding gene	55256
HGNC:52339	ADI1P1	pseudogene	100130936
HGNC:52340	ADI1P2	pseudogene	100288971
HGNC:52341	ADI1P3	pseudogene	100288129
HGNC:28606	ADIG	protein-coding gene	149685
HGNC:13633	ADIPOQ	protein-coding gene	9370
HGNC:40648	ADIPOQ-AS1	non-coding RNA	100874095
HGNC:24040	ADIPOR1	protein-coding gene	51094
HGNC:44910	ADIPOR1P1	pseudogene	645220
HGNC:44911	ADIPOR1P2	pseudogene	390503
HGNC:24041	ADIPOR2	protein-coding gene	79602
HGNC:24043	ADIRF	protein-coding gene	10974
HGNC:45127	ADIRF-AS1	non-coding RNA	100133190
HGNC:257	ADK	protein-coding gene	132
HGNC:259	ADM	protein-coding gene	133
HGNC:28898	ADM2	protein-coding gene	79924
HGNC:27293	ADM5	protein-coding gene	199800
HGNC:15766	ADNP	protein-coding gene	23394
HGNC:51227	ADNP-AS1	non-coding RNA	101927631
HGNC:23803	ADNP2	protein-coding gene	22850
HGNC:23506	ADO	protein-coding gene	84890
HGNC:262	ADORA1	protein-coding gene	134
HGNC:263	ADORA2A	protein-coding gene	135
HGNC:37122	ADORA2A-AS1	non-coding RNA	646023
HGNC:264	ADORA2B	protein-coding gene	136
HGNC:265	ADORA2BP1	pseudogene	137
HGNC:268	ADORA3	protein-coding gene	140
HGNC:25250	ADPGK	protein-coding gene	83440
HGNC:44144	ADPGK-AS1	non-coding RNA	100287559
HGNC:269	ADPRH	protein-coding gene	141
HGNC:21303	ADPRHL1	protein-coding gene	113622
HGNC:30925	ADPRM	protein-coding gene	56985
HGNC:21304	ADPRS	protein-coding gene	54936
HGNC:277	ADRA1A	protein-coding gene	148
HGNC:278	ADRA1B	protein-coding gene	147
HGNC:280	ADRA1D	protein-coding gene	146
HGNC:281	ADRA2A	protein-coding gene	150
HGNC:282	ADRA2B	protein-coding gene	151
HGNC:283	ADRA2C	protein-coding gene	152
HGNC:285	ADRB1	protein-coding gene	153
HGNC:286	ADRB2	protein-coding gene	154
HGNC:288	ADRB3	protein-coding gene	155
HGNC:15759	ADRM1	protein-coding gene	11047
HGNC:291	ADSL	protein-coding gene	158
HGNC:20093	ADSS1	protein-coding gene	122622
HGNC:292	ADSS2	protein-coding gene	159
HGNC:21214	ADTRP	protein-coding gene	84830
HGNC:303	AEBP1	protein-coding gene	165
HGNC:24051	AEBP2	protein-coding gene	121536
HGNC:25722	AEN	protein-coding gene	64782
HGNC:24017	AFAP1	protein-coding gene	60312
HGNC:28141	AFAP1-AS1	non-coding RNA	84740
