hgnc_id	symbol	locus_type
HGNC:5	A1BG	gene with protein product
HGNC:37133	A1BG-AS1	RNA, long non-coding
HGNC:24086	A1CF	gene with protein product
HGNC:7	A2M	gene with protein product
HGNC:27057	A2M-AS1	RNA, long non-coding
HGNC:23336	A2ML1	gene with protein product
HGNC:41022	A2ML1-AS1	RNA, long non-coding
HGNC:41523	A2ML1-AS2	RNA, long non-coding
HGNC:8	A2MP1	pseudogene
HGNC:30005	A3GALT2	gene with protein product
HGNC:18149	A4GALT	gene with protein product
HGNC:17968	A4GNT	gene with protein product
HGNC:13666	AAAS	gene with protein product
HGNC:21298	AACS	gene with protein product
HGNC:18226	AACSP1	pseudogene
HGNC:17	AADAC	gene with protein product
HGNC:24427	AADACL2	gene with protein product
HGNC:50301	AADACL2-AS1	RNA, long non-coding
HGNC:32037	AADACL3	gene with protein product
HGNC:32038	AADACL4	gene with protein product
HGNC:50305	AADACP1	pseudogene
HGNC:17929	AADAT	gene with protein product
HGNC:25662	AAGAB	gene with protein product
HGNC:19679	AAK1	gene with protein product
HGNC:30205	AAMDC	gene with protein product
HGNC:18	AAMP	gene with protein product
HGNC:19	AANAT	gene with protein product
HGNC:15886	AAR2	gene with protein product
HGNC:33842	AARD	gene with protein product
HGNC:20	AARS1	gene with protein product
HGNC:49894	AARS1P1	pseudogene
HGNC:21022	AARS2	gene with protein product
HGNC:28417	AARSD1	gene with protein product
HGNC:54994	AARSD1P1	pseudogene
HGNC:23993	AASDH	gene with protein product
HGNC:14235	AASDHPPT	gene with protein product
HGNC:17366	AASS	gene with protein product
HGNC:51526	AATBC	RNA, long non-coding
HGNC:19235	AATF	gene with protein product
HGNC:21	AATK	gene with protein product
HGNC:22	AAVS1	virus integration site
HGNC:49667	ABALON	RNA, long non-coding
HGNC:23	ABAT	gene with protein product
HGNC:29	ABCA1	gene with protein product
HGNC:32	ABCA2	gene with protein product
HGNC:33	ABCA3	gene with protein product
HGNC:55707	ABCA3P1	pseudogene
HGNC:34	ABCA4	gene with protein product
HGNC:35	ABCA5	gene with protein product
HGNC:36	ABCA6	gene with protein product
HGNC:37	ABCA7	gene with protein product
HGNC:38	ABCA8	gene with protein product
HGNC:39	ABCA9	gene with protein product
HGNC:39983	ABCA9-AS1	RNA, long non-coding
HGNC:30	ABCA10	gene with protein product
HGNC:31	ABCA11P	pseudogene
HGNC:14637	ABCA12	gene with protein product
HGNC:14638	ABCA13	gene with protein product
HGNC:32972	ABCA17P	pseudogene
HGNC:40	ABCB1	gene with protein product
HGNC:45	ABCB4	gene with protein product
HGNC:46	ABCB5	gene with protein product
HGNC:47	ABCB6	gene with protein product
HGNC:48	ABCB7	gene with protein product
HGNC:49	ABCB8	gene with protein product
HGNC:50	ABCB9	gene with protein product
HGNC:41	ABCB10	gene with protein product
HGNC:14114	ABCB10P1	pseudogene
HGNC:31129	ABCB10P3	pseudogene
HGNC:31130	ABCB10P4	pseudogene
HGNC:42	ABCB11	gene with protein product
HGNC:51	ABCC1	gene with protein product
HGNC:53	ABCC2	gene with protein product
HGNC:54	ABCC3	gene with protein product
HGNC:55	ABCC4	gene with protein product
HGNC:56	ABCC5	gene with protein product
HGNC:40055	ABCC5-AS1	RNA, long non-coding
HGNC:57	ABCC6	gene with protein product
HGNC:33352	ABCC6P1	pseudogene
HGNC:33353	ABCC6P2	pseudogene
HGNC:59	ABCC8	gene with protein product
