hgnc_id	symbol	locus_type
HGNC:60	ABCC9	gene with protein product
HGNC:52	ABCC10	gene with protein product
HGNC:14639	ABCC11	gene with protein product
HGNC:14640	ABCC12	gene with protein product
HGNC:16022	ABCC13	pseudogene
HGNC:61	ABCD1	gene with protein product
HGNC:62	ABCD1P1	pseudogene
HGNC:63	ABCD1P2	pseudogene
HGNC:64	ABCD1P3	pseudogene
HGNC:65	ABCD1P4	pseudogene
HGNC:42662	ABCD1P5	pseudogene
HGNC:66	ABCD2	gene with protein product
HGNC:67	ABCD3	gene with protein product
HGNC:68	ABCD4	gene with protein product
HGNC:69	ABCE1	gene with protein product
HGNC:70	ABCF1	gene with protein product
HGNC:53628	ABCF1-DT	RNA, long non-coding
HGNC:71	ABCF2	gene with protein product
HGNC:54751	ABCF2-H2BK1	readthrough
HGNC:48841	ABCF2P1	pseudogene
HGNC:48842	ABCF2P2	pseudogene
HGNC:72	ABCF3	gene with protein product
HGNC:73	ABCG1	gene with protein product
HGNC:74	ABCG2	gene with protein product
HGNC:13884	ABCG4	gene with protein product
HGNC:13886	ABCG5	gene with protein product
HGNC:13887	ABCG8	gene with protein product
HGNC:17553	ABHD1	gene with protein product
HGNC:18717	ABHD2	gene with protein product
HGNC:18718	ABHD3	gene with protein product
HGNC:20154	ABHD4	gene with protein product
HGNC:21396	ABHD5	gene with protein product
HGNC:21398	ABHD6	gene with protein product
HGNC:23759	ABHD8	gene with protein product
HGNC:25656	ABHD10	gene with protein product
HGNC:16407	ABHD11	gene with protein product
HGNC:18289	ABHD11-AS1	RNA, long non-coding
HGNC:15868	ABHD12	gene with protein product
HGNC:19837	ABHD12B	gene with protein product
HGNC:20293	ABHD13	gene with protein product
HGNC:24538	ABHD14A	gene with protein product
HGNC:38856	ABHD14A-ACY1	readthrough
HGNC:28235	ABHD14B	gene with protein product
HGNC:26971	ABHD15	gene with protein product
HGNC:49685	ABHD15-AS1	RNA, long non-coding
HGNC:13921	ABHD16A	gene with protein product
HGNC:16128	ABHD16B	gene with protein product
HGNC:28756	ABHD17A	gene with protein product
HGNC:28394	ABHD17AP1	pseudogene
HGNC:34041	ABHD17AP3	pseudogene
HGNC:34042	ABHD17AP4	pseudogene
HGNC:34043	ABHD17AP5	pseudogene
HGNC:34044	ABHD17AP6	pseudogene
HGNC:38508	ABHD17AP7	pseudogene
HGNC:38509	ABHD17AP8	pseudogene
HGNC:38510	ABHD17AP9	pseudogene
HGNC:24278	ABHD17B	gene with protein product
HGNC:26925	ABHD17C	gene with protein product
HGNC:26111	ABHD18	gene with protein product
HGNC:11320	ABI1	gene with protein product
HGNC:20035	ABI1P1	pseudogene
HGNC:24011	ABI2	gene with protein product
HGNC:29859	ABI3	gene with protein product
HGNC:17265	ABI3BP	gene with protein product
HGNC:1364	ABITRAM	gene with protein product
HGNC:39851	ABITRAMP1	pseudogene
HGNC:76	ABL1	gene with protein product
HGNC:77	ABL2	gene with protein product
HGNC:78	ABLIM1	gene with protein product
HGNC:19195	ABLIM2	gene with protein product
HGNC:29132	ABLIM3	gene with protein product
HGNC:79	ABO	gene with protein product
HGNC:81	ABR	gene with protein product
HGNC:55674	ABR-AS1	RNA, long non-coding
HGNC:30655	ABRA	gene with protein product
HGNC:21230	ABRACL	gene with protein product
HGNC:25829	ABRAXAS1	gene with protein product
HGNC:28975	ABRAXAS2	gene with protein product
HGNC:17369	ABT1	gene with protein product
HGNC:39557	ABT1P1	pseudogene
HGNC:18275	ABTB1	gene with protein product
HGNC:23842	ABTB2	gene with protein product
HGNC:82	ACAA1	gene with protein product
HGNC:83	ACAA2	gene with protein product
HGNC:55880	ACAA2P1	pseudogene
HGNC:84	ACACA	gene with protein product
HGNC:85	ACACB	gene with protein product
HGNC:87	ACAD8	gene with protein product
HGNC:21497	ACAD9	gene with protein product
HGNC:21597	ACAD10	gene with protein product
HGNC:30211	ACAD11	gene with protein product
HGNC:88	ACADL	gene with protein product
HGNC:89	ACADM	gene with protein product
HGNC:90	ACADS	gene with protein product
HGNC:91	ACADSB	gene with protein product
HGNC:92	ACADVL	gene with protein product
HGNC:319	ACAN	gene with protein product
HGNC:16467	ACAP1	gene with protein product
HGNC:16469	ACAP2	gene with protein product
HGNC:41426	ACAP2-IT1	RNA, long non-coding
HGNC:16754	ACAP3	gene with protein product
HGNC:93	ACAT1	gene with protein product
HGNC:94	ACAT2	gene with protein product
HGNC:15453	ACBD3	gene with protein product
HGNC:40701	ACBD3-AS1	RNA, long non-coding
HGNC:23337	ACBD4	gene with protein product
HGNC:23338	ACBD5	gene with protein product
HGNC:23339	ACBD6	gene with protein product
HGNC:17715	ACBD7	gene with protein product
HGNC:23989	ACCS	gene with protein product
HGNC:34391	ACCSL	gene with protein product
HGNC:25070	ACD	gene with protein product
HGNC:2707	ACE	gene with protein product
HGNC:13557	ACE2	gene with protein product
HGNC:44365	ACE3P	pseudogene
HGNC:18356	ACER1	gene with protein product
HGNC:23675	ACER2	gene with protein product
HGNC:54674	ACER2P1	pseudogene
HGNC:16066	ACER3	gene with protein product
HGNC:108	ACHE	gene with protein product
HGNC:17066	ACIN1	gene with protein product
HGNC:4035	ACKR1	gene with protein product
HGNC:1565	ACKR2	gene with protein product
HGNC:23692	ACKR3	gene with protein product
HGNC:1611	ACKR4	gene with protein product
HGNC:21142	ACKR4P1	pseudogene
HGNC:115	ACLY	gene with protein product
HGNC:19288	ACMSD	gene with protein product
HGNC:34504	ACNATP	pseudogene
HGNC:117	ACO1	gene with protein product
HGNC:118	ACO2	gene with protein product
HGNC:33904	ACOD1	gene with protein product
HGNC:33128	ACOT1	gene with protein product
HGNC:18431	ACOT2	gene with protein product
HGNC:19748	ACOT4	gene with protein product
HGNC:33159	ACOT6	gene with protein product
HGNC:24157	ACOT7	gene with protein product
HGNC:15919	ACOT8	gene with protein product
HGNC:17152	ACOT9	gene with protein product
HGNC:18156	ACOT11	gene with protein product
HGNC:24436	ACOT12	gene with protein product
HGNC:20999	ACOT13	gene with protein product
HGNC:119	ACOX1	gene with protein product
HGNC:120	ACOX2	gene with protein product
HGNC:121	ACOX3	gene with protein product
HGNC:25621	ACOXL	gene with protein product
HGNC:41112	ACOXL-AS1	RNA, long non-coding
HGNC:122	ACP1	gene with protein product
HGNC:123	ACP2	gene with protein product
HGNC:125	ACP3	gene with protein product
HGNC:14376	ACP4	gene with protein product
HGNC:124	ACP5	gene with protein product
HGNC:29609	ACP6	gene with protein product
HGNC:33781	ACP7	gene with protein product
HGNC:126	ACR	gene with protein product
HGNC:17195	ACRBP	gene with protein product
HGNC:54745	ACRP1	pseudogene
HGNC:127	ACRV1	gene with protein product
HGNC:29567	ACSBG1	gene with protein product
HGNC:24174	ACSBG2	gene with protein product
HGNC:26101	ACSF2	gene with protein product
HGNC:27288	ACSF3	gene with protein product
HGNC:3569	ACSL1	gene with protein product
HGNC:3570	ACSL3	gene with protein product
HGNC:40227	ACSL3-AS1	RNA, long non-coding
HGNC:3571	ACSL4	gene with protein product
HGNC:16526	ACSL5	gene with protein product
HGNC:16496	ACSL6	gene with protein product
HGNC:40772	ACSL6-AS1	RNA, long non-coding
HGNC:18049	ACSM1	gene with protein product
HGNC:32017	ACSM2A	gene with protein product
HGNC:30931	ACSM2B	gene with protein product
HGNC:10522	ACSM3	gene with protein product
HGNC:32016	ACSM4	gene with protein product
HGNC:26060	ACSM5	gene with protein product
HGNC:51295	ACSM5P1	pseudogene
HGNC:31665	ACSM6	gene with protein product
HGNC:16091	ACSS1	gene with protein product
HGNC:15814	ACSS2	gene with protein product
HGNC:24723	ACSS3	gene with protein product
HGNC:129	ACTA1	gene with protein product
HGNC:130	ACTA2	gene with protein product
HGNC:45169	ACTA2-AS1	RNA, long non-coding
HGNC:132	ACTB	gene with protein product
HGNC:17780	ACTBL2	gene with protein product
HGNC:134	ACTBP1	pseudogene
HGNC:135	ACTBP2	pseudogene
HGNC:136	ACTBP3	pseudogene
HGNC:137	ACTBP4	pseudogene
HGNC:139	ACTBP6	pseudogene
HGNC:140	ACTBP7	pseudogene
HGNC:141	ACTBP8	pseudogene
HGNC:142	ACTBP9	pseudogene
HGNC:31819	ACTBP10	pseudogene
HGNC:33971	ACTBP11	pseudogene
HGNC:150	ACTBP12	pseudogene
HGNC:45086	ACTBP14	pseudogene
HGNC:55065	ACTBP15	pseudogene
HGNC:143	ACTC1	gene with protein product
HGNC:51491	ACTE1P	pseudogene
HGNC:144	ACTG1	gene with protein product
HGNC:146	ACTG1P1	pseudogene
HGNC:147	ACTG1P2	pseudogene
HGNC:148	ACTG1P3	pseudogene
HGNC:149	ACTG1P4	pseudogene
HGNC:151	ACTG1P6	pseudogene
HGNC:152	ACTG1P7	pseudogene
HGNC:153	ACTG1P8	pseudogene
HGNC:154	ACTG1P9	pseudogene
HGNC:155	ACTG1P10	pseudogene
HGNC:37651	ACTG1P11	pseudogene
HGNC:44496	ACTG1P12	pseudogene
HGNC:49058	ACTG1P13	pseudogene
HGNC:49751	ACTG1P14	pseudogene
HGNC:51495	ACTG1P15	pseudogene
HGNC:51496	ACTG1P16	pseudogene
HGNC:51497	ACTG1P17	pseudogene
HGNC:51498	ACTG1P18	pseudogene
HGNC:51499	ACTG1P19	pseudogene
HGNC:51500	ACTG1P20	pseudogene
HGNC:51501	ACTG1P21	pseudogene
HGNC:51502	ACTG1P22	pseudogene
HGNC:51503	ACTG1P23	pseudogene
HGNC:49661	ACTG1P24	pseudogene
HGNC:54872	ACTG1P25	pseudogene
HGNC:145	ACTG2	gene with protein product
HGNC:24124	ACTL6A	gene with protein product
HGNC:160	ACTL6B	gene with protein product
HGNC:161	ACTL7A	gene with protein product
HGNC:162	ACTL7B	gene with protein product
HGNC:24018	ACTL8	gene with protein product
HGNC:28494	ACTL9	gene with protein product
HGNC:16127	ACTL10	gene with protein product
HGNC:44626	ACTL11P	pseudogene
HGNC:163	ACTN1	gene with protein product
HGNC:20131	ACTN1-DT	RNA, long non-coding
HGNC:164	ACTN2	gene with protein product
HGNC:165	ACTN3	gene with protein product
HGNC:166	ACTN4	gene with protein product
HGNC:44028	ACTN4P1	pseudogene
HGNC:44032	ACTN4P2	pseudogene
HGNC:51621	ACTP1	pseudogene
HGNC:167	ACTR1A	gene with protein product
HGNC:54703	ACTR1AP1	pseudogene
HGNC:168	ACTR1B	gene with protein product
HGNC:169	ACTR2	gene with protein product
HGNC:170	ACTR3	gene with protein product
HGNC:53965	ACTR3-AS1	RNA, long non-coding
HGNC:17256	ACTR3B	gene with protein product
HGNC:37724	ACTR3BP1	pseudogene
HGNC:38677	ACTR3BP2	pseudogene
HGNC:38678	ACTR3BP3	pseudogene
HGNC:38681	ACTR3BP4	pseudogene
HGNC:38682	ACTR3BP5	pseudogene
HGNC:38683	ACTR3BP6	pseudogene
HGNC:54971	ACTR3BP7	pseudogene
HGNC:37282	ACTR3C	gene with protein product
HGNC:31820	ACTR3P1	pseudogene
HGNC:38676	ACTR3P2	pseudogene
HGNC:38679	ACTR3P3	pseudogene
HGNC:14671	ACTR5	gene with protein product
HGNC:24025	ACTR6	gene with protein product
HGNC:44210	ACTR6P1	pseudogene
HGNC:14672	ACTR8	gene with protein product
HGNC:17372	ACTR10	gene with protein product
HGNC:24027	ACTRT1	gene with protein product
HGNC:55127	ACTRT1P1	pseudogene
HGNC:24026	ACTRT2	gene with protein product
HGNC:24022	ACTRT3	gene with protein product
HGNC:171	ACVR1	gene with protein product
HGNC:172	ACVR1B	gene with protein product
HGNC:18123	ACVR1C	gene with protein product
HGNC:173	ACVR2A	gene with protein product
HGNC:174	ACVR2B	gene with protein product
HGNC:44161	ACVR2B-AS1	RNA, long non-coding
HGNC:175	ACVRL1	gene with protein product
HGNC:177	ACY1	gene with protein product
HGNC:24104	ACY3	gene with protein product
HGNC:179	ACYP1	gene with protein product
HGNC:180	ACYP2	gene with protein product
HGNC:186	ADA	gene with protein product
HGNC:1839	ADA2	gene with protein product
HGNC:30713	ADAD1	gene with protein product
HGNC:44550	ADAD1P1	pseudogene
HGNC:44552	ADAD1P2	pseudogene
HGNC:30714	ADAD2	gene with protein product
HGNC:31853	ADAL	gene with protein product
HGNC:187	ADAM1A	pseudogene
HGNC:44366	ADAM1B	pseudogene
HGNC:198	ADAM2	gene with protein product
HGNC:209	ADAM3A	pseudogene
HGNC:210	ADAM3B	pseudogene
HGNC:212	ADAM5	pseudogene
HGNC:213	ADAM6	pseudogene
HGNC:214	ADAM7	gene with protein product
HGNC:215	ADAM8	gene with protein product
HGNC:216	ADAM9	gene with protein product
HGNC:188	ADAM10	gene with protein product
HGNC:189	ADAM11	gene with protein product
HGNC:190	ADAM12	gene with protein product
HGNC:193	ADAM15	gene with protein product
HGNC:195	ADAM17	gene with protein product
HGNC:196	ADAM18	gene with protein product
HGNC:197	ADAM19	gene with protein product
HGNC:199	ADAM20	gene with protein product
HGNC:20102	ADAM20P1	pseudogene
HGNC:43901	ADAM20P2	pseudogene
HGNC:43902	ADAM20P3	pseudogene
HGNC:200	ADAM21	gene with protein product
HGNC:19822	ADAM21P1	pseudogene
HGNC:201	ADAM22	gene with protein product
HGNC:202	ADAM23	gene with protein product
HGNC:203	ADAM24P	pseudogene
HGNC:206	ADAM28	gene with protein product
HGNC:207	ADAM29	gene with protein product
HGNC:208	ADAM30	gene with protein product
HGNC:15479	ADAM32	gene with protein product
HGNC:15478	ADAM33	gene with protein product
HGNC:16299	ADAMDEC1	gene with protein product
HGNC:217	ADAMTS1	gene with protein product
HGNC:218	ADAMTS2	gene with protein product
HGNC:219	ADAMTS3	gene with protein product
HGNC:220	ADAMTS4	gene with protein product
HGNC:221	ADAMTS5	gene with protein product
HGNC:222	ADAMTS6	gene with protein product
HGNC:223	ADAMTS7	gene with protein product
HGNC:49407	ADAMTS7P1	pseudogene
HGNC:49409	ADAMTS7P3	pseudogene
HGNC:49410	ADAMTS7P4	pseudogene
HGNC:224	ADAMTS8	gene with protein product
HGNC:13202	ADAMTS9	gene with protein product
HGNC:40625	ADAMTS9-AS1	RNA, long non-coding
HGNC:42435	ADAMTS9-AS2	RNA, long non-coding
HGNC:13201	ADAMTS10	gene with protein product
HGNC:14605	ADAMTS12	gene with protein product
HGNC:1366	ADAMTS13	gene with protein product
HGNC:14899	ADAMTS14	gene with protein product
HGNC:16305	ADAMTS15	gene with protein product
HGNC:17108	ADAMTS16	gene with protein product
HGNC:55548	ADAMTS16-DT	RNA, long non-coding
HGNC:17109	ADAMTS17	gene with protein product
HGNC:17110	ADAMTS18	gene with protein product
HGNC:17111	ADAMTS19	gene with protein product
HGNC:40797	ADAMTS19-AS1	RNA, long non-coding
HGNC:17178	ADAMTS20	gene with protein product
HGNC:14632	ADAMTSL1	gene with protein product
HGNC:14631	ADAMTSL2	gene with protein product
HGNC:14633	ADAMTSL3	gene with protein product
HGNC:19706	ADAMTSL4	gene with protein product
HGNC:32041	ADAMTSL4-AS1	RNA, long non-coding
HGNC:40895	ADAMTSL4-AS2	RNA, long non-coding
HGNC:27912	ADAMTSL5	gene with protein product
HGNC:16486	ADAP1	gene with protein product
HGNC:16487	ADAP2	gene with protein product
HGNC:225	ADAR	gene with protein product
HGNC:226	ADARB1	gene with protein product
HGNC:227	ADARB2	gene with protein product
HGNC:23299	ADARB2-AS1	RNA, long non-coding
HGNC:228	ADAT1	gene with protein product
HGNC:21172	ADAT2	gene with protein product
HGNC:25151	ADAT3	gene with protein product
HGNC:19038	ADCK1	gene with protein product
HGNC:19039	ADCK2	gene with protein product
HGNC:21738	ADCK5	gene with protein product
HGNC:229	ADCP1	unknown
HGNC:232	ADCY1	gene with protein product
HGNC:233	ADCY2	gene with protein product
HGNC:234	ADCY3	gene with protein product
HGNC:235	ADCY4	gene with protein product
HGNC:236	ADCY5	gene with protein product
HGNC:237	ADCY6	gene with protein product
HGNC:53332	ADCY6-DT	RNA, long non-coding
HGNC:238	ADCY7	gene with protein product
HGNC:239	ADCY8	gene with protein product
HGNC:240	ADCY9	gene with protein product
HGNC:21285	ADCY10	gene with protein product
HGNC:44143	ADCY10P1	pseudogene
HGNC:241	ADCYAP1	gene with protein product
HGNC:242	ADCYAP1R1	gene with protein product
HGNC:243	ADD1	gene with protein product
HGNC:244	ADD2	gene with protein product
HGNC:245	ADD3	gene with protein product
HGNC:48682	ADD3-AS1	RNA, long non-coding
HGNC:21212	ADGB	gene with protein product
HGNC:55654	ADGB-DT	RNA, long non-coding
HGNC:13838	ADGRA1	gene with protein product
HGNC:49543	ADGRA1-AS1	RNA, long non-coding
HGNC:17849	ADGRA2	gene with protein product
HGNC:13839	ADGRA3	gene with protein product
HGNC:55918	ADGRA3P1	pseudogene
HGNC:943	ADGRB1	gene with protein product
HGNC:944	ADGRB2	gene with protein product
HGNC:945	ADGRB3	gene with protein product
HGNC:55774	ADGRB3-DT	RNA, long non-coding
HGNC:19893	ADGRD1	gene with protein product
HGNC:53314	ADGRD1-AS1	RNA, long non-coding
HGNC:18651	ADGRD2	gene with protein product
HGNC:3336	ADGRE1	gene with protein product
HGNC:3337	ADGRE2	gene with protein product
HGNC:23647	ADGRE3	gene with protein product
HGNC:19240	ADGRE4P	pseudogene
HGNC:1711	ADGRE5	gene with protein product
HGNC:18990	ADGRF1	gene with protein product
HGNC:18991	ADGRF2	gene with protein product
HGNC:18989	ADGRF3	gene with protein product
HGNC:19011	ADGRF4	gene with protein product
HGNC:19030	ADGRF5	gene with protein product
HGNC:40864	ADGRF5-AS1	RNA, long non-coding
HGNC:32922	ADGRF5P1	pseudogene
HGNC:32921	ADGRF5P2	pseudogene
HGNC:4512	ADGRG1	gene with protein product
HGNC:4516	ADGRG2	gene with protein product
HGNC:13728	ADGRG3	gene with protein product
HGNC:18992	ADGRG4	gene with protein product
HGNC:19010	ADGRG5	gene with protein product
HGNC:13841	ADGRG6	gene with protein product
HGNC:19241	ADGRG7	gene with protein product
HGNC:20973	ADGRL1	gene with protein product
HGNC:55309	ADGRL1-AS1	RNA, long non-coding
HGNC:18582	ADGRL2	gene with protein product
HGNC:20974	ADGRL3	gene with protein product
HGNC:50604	ADGRL3-AS1	RNA, long non-coding
HGNC:20822	ADGRL4	gene with protein product
HGNC:17416	ADGRV1	gene with protein product
HGNC:249	ADH1A	gene with protein product
HGNC:250	ADH1B	gene with protein product
HGNC:251	ADH1C	gene with protein product
HGNC:252	ADH4	gene with protein product
HGNC:253	ADH5	gene with protein product
HGNC:22976	ADH5P2	pseudogene
HGNC:22991	ADH5P3	pseudogene
HGNC:21377	ADH5P4	pseudogene
HGNC:54523	ADH5P5	pseudogene
HGNC:255	ADH6	gene with protein product
HGNC:256	ADH7	gene with protein product
HGNC:16354	ADHFE1	gene with protein product
HGNC:30576	ADI1	gene with protein product
HGNC:52339	ADI1P1	pseudogene
HGNC:52340	ADI1P2	pseudogene
HGNC:52341	ADI1P3	pseudogene
HGNC:28606	ADIG	gene with protein product
HGNC:13633	ADIPOQ	gene with protein product
HGNC:40648	ADIPOQ-AS1	RNA, long non-coding
HGNC:24040	ADIPOR1	gene with protein product
HGNC:44910	ADIPOR1P1	pseudogene
HGNC:44911	ADIPOR1P2	pseudogene
HGNC:24041	ADIPOR2	gene with protein product
HGNC:24043	ADIRF	gene with protein product
HGNC:45127	ADIRF-AS1	RNA, long non-coding
HGNC:257	ADK	gene with protein product
HGNC:259	ADM	gene with protein product
HGNC:55516	ADM-DT	RNA, long non-coding
HGNC:28898	ADM2	gene with protein product
HGNC:27293	ADM5	gene with protein product
HGNC:15766	ADNP	gene with protein product
HGNC:51227	ADNP-AS1	RNA, long non-coding
HGNC:23803	ADNP2	gene with protein product
HGNC:23506	ADO	gene with protein product
HGNC:262	ADORA1	gene with protein product
HGNC:263	ADORA2A	gene with protein product
HGNC:37122	ADORA2A-AS1	RNA, long non-coding
HGNC:264	ADORA2B	gene with protein product
HGNC:265	ADORA2BP1	pseudogene
HGNC:268	ADORA3	gene with protein product
HGNC:25250	ADPGK	gene with protein product
HGNC:44144	ADPGK-AS1	RNA, long non-coding
HGNC:269	ADPRH	gene with protein product
HGNC:21303	ADPRHL1	gene with protein product
HGNC:30925	ADPRM	gene with protein product
HGNC:21304	ADPRS	gene with protein product
HGNC:277	ADRA1A	gene with protein product
HGNC:278	ADRA1B	gene with protein product
HGNC:280	ADRA1D	gene with protein product
HGNC:281	ADRA2A	gene with protein product
HGNC:282	ADRA2B	gene with protein product
HGNC:283	ADRA2C	gene with protein product
HGNC:285	ADRB1	gene with protein product
HGNC:286	ADRB2	gene with protein product
HGNC:288	ADRB3	gene with protein product
HGNC:15759	ADRM1	gene with protein product
HGNC:291	ADSL	gene with protein product
HGNC:20093	ADSS1	gene with protein product
HGNC:292	ADSS2	gene with protein product
HGNC:21214	ADTRP	gene with protein product
HGNC:303	AEBP1	gene with protein product
HGNC:24051	AEBP2	gene with protein product
HGNC:25722	AEN	gene with protein product
HGNC:24017	AFAP1	gene with protein product
HGNC:28141	AFAP1-AS1	RNA, long non-coding
HGNC:26714	AFAP1L1	gene with protein product
HGNC:25901	AFAP1L2	gene with protein product
HGNC:7137	AFDN	gene with protein product
HGNC:21236	AFDN-DT	RNA, long non-coding
HGNC:7135	AFF1	gene with protein product
HGNC:53447	AFF1-AS1	RNA, long non-coding
HGNC:3776	AFF2	gene with protein product
HGNC:41334	AFF2-IT1	RNA, long non-coding
HGNC:6473	AFF3	gene with protein product
HGNC:17869	AFF4	gene with protein product
HGNC:55235	AFF4-DT	RNA, long non-coding
HGNC:16411	AFG1L	gene with protein product
HGNC:314	AFG3L1P	pseudogene
HGNC:315	AFG3L2	gene with protein product
HGNC:24169	AFG3L2P1	pseudogene
HGNC:316	AFM	gene with protein product
HGNC:20910	AFMID	gene with protein product
HGNC:317	AFP	gene with protein product
HGNC:25951	AFTPH	gene with protein product
HGNC:52788	AFTPH-DT	RNA, long non-coding
HGNC:318	AGA	gene with protein product
HGNC:27730	AGA-DT	RNA, long non-coding
HGNC:16922	AGAP1	gene with protein product
HGNC:41427	AGAP1-IT1	RNA, long non-coding
HGNC:16921	AGAP2	gene with protein product
HGNC:48633	AGAP2-AS1	RNA, long non-coding
HGNC:16923	AGAP3	gene with protein product
HGNC:23459	AGAP4	gene with protein product
HGNC:23467	AGAP5	gene with protein product
HGNC:23466	AGAP6	gene with protein product
HGNC:23465	AGAP7P	pseudogene
HGNC:23463	AGAP9	gene with protein product
HGNC:23659	AGAP10P	pseudogene
HGNC:29421	AGAP11	unknown
HGNC:23661	AGAP12P	pseudogene
HGNC:23499	AGAP13P	pseudogene
HGNC:23660	AGAP14P	pseudogene
HGNC:26504	AGBL1	gene with protein product
HGNC:48617	AGBL1-AS1	RNA, long non-coding
HGNC:26296	AGBL2	gene with protein product
HGNC:27981	AGBL3	gene with protein product
HGNC:25892	AGBL4	gene with protein product
HGNC:41123	AGBL4-AS1	RNA, long non-coding
HGNC:41482	AGBL4-IT1	RNA, long non-coding
HGNC:26147	AGBL5	gene with protein product
HGNC:41133	AGBL5-AS1	RNA, long non-coding
HGNC:41484	AGBL5-IT1	RNA, long non-coding
HGNC:320	AGER	gene with protein product
HGNC:5175	AGFG1	gene with protein product
HGNC:5177	AGFG2	gene with protein product
HGNC:24684	AGGF1	gene with protein product
HGNC:38051	AGGF1P1	pseudogene
HGNC:38052	AGGF1P2	pseudogene
HGNC:38053	AGGF1P3	pseudogene
HGNC:38054	AGGF1P4	pseudogene
HGNC:51741	AGGF1P5	pseudogene
HGNC:51744	AGGF1P6	pseudogene
HGNC:51740	AGGF1P7	pseudogene
HGNC:51745	AGGF1P8	pseudogene
HGNC:51746	AGGF1P9	pseudogene
HGNC:51747	AGGF1P10	pseudogene
HGNC:21869	AGK	gene with protein product
HGNC:55356	AGK-DT	RNA, long non-coding
HGNC:37661	AGKP1	pseudogene
HGNC:55132	AGKP2	pseudogene
HGNC:321	AGL	gene with protein product
HGNC:18407	AGMAT	gene with protein product
HGNC:33784	AGMO	gene with protein product
HGNC:3262	AGO1	gene with protein product
HGNC:3263	AGO2	gene with protein product
HGNC:18421	AGO3	gene with protein product
HGNC:18424	AGO4	gene with protein product
HGNC:324	AGPAT1	gene with protein product
HGNC:325	AGPAT2	gene with protein product
HGNC:326	AGPAT3	gene with protein product
HGNC:20885	AGPAT4	gene with protein product
HGNC:20988	AGPAT4-IT1	RNA, long non-coding
HGNC:20886	AGPAT5	gene with protein product
