hugo_gene_symbol	type	entrez_id
LOC100128184	protein-coding	100128184
LOC101930075	protein-coding	101930075
LOC102725179	protein-coding	102725179
LOC402036	protein-coding	402036
LOC286068	protein-coding	286068
FLJ35700	protein-coding	285736
LOC100129775	protein-coding	100129775
LOC285957	protein-coding	285957
LOC100130278	protein-coding	100130278
LOC157860	protein-coding	157860
LOC100129406	protein-coding	100129406
LOC644058	protein-coding	644058
LOC100131581	protein-coding	100131581
LOC100130817	protein-coding	100130817
LOC157931	protein-coding	157931
LOC100131820	protein-coding	100131820
LOC100129042	protein-coding	100129042
LOC100129115	protein-coding	100129115
LOC647020	protein-coding	647020
LOC100129447	protein-coding	100129447
LOC100131840	protein-coding	100131840
LOC284570	protein-coding	284570
LOC100132474	protein-coding	100132474
LOC100130542	protein-coding	100130542
LOC101060405	protein-coding	101060405
LOC100130051	protein-coding	100130051
LOC402269	protein-coding	402269
LOC100131150	protein-coding	100131150
LOC643936	protein-coding	643936
LOC646014	protein-coding	646014
LOC642730	protein-coding	642730
LOC646865	protein-coding	646865
LOC646836	protein-coding	646836
LOC100129884	protein-coding	100129884
LOC100506217	protein-coding	100506217
LOC100996813	protein-coding	100996813
LOC645263	protein-coding	645263
LOC645100	protein-coding	645100
LOC284112	protein-coding	284112
LOC102723383	protein-coding	102723383
LOC100130778	protein-coding	100130778
LOC100128160	protein-coding	100128160
LOC100289058	protein-coding	100289058
LOC100128691	protein-coding	100128691
LOC100288336	protein-coding	100288336
LOC649201	protein-coding	649201
LOC100128430	protein-coding	100128430
LOC100288562	protein-coding	100288562
LOC100129852	protein-coding	100129852
LOC102724665	protein-coding	102724665
LOC100129324	protein-coding	100129324
LOC100129125	protein-coding	100129125
LOC100130078	protein-coding	100130078
LOC283516	protein-coding	283516
LOC100131355	protein-coding	100131355
LOC100128402	protein-coding	100128402
HPX-2	protein-coding	652764
LOC284513	protein-coding	284513
LOC100130597	protein-coding	100130597
LOC100130927	protein-coding	100130927
LOC340085	protein-coding	340085
LOC100130442	protein-coding	100130442
LOC100128170	protein-coding	100128170
LOC283270	protein-coding	283270
LOC100132071	protein-coding	100132071
LOC100132025	protein-coding	100132025
LOC100653061	protein-coding	100653061
LOC729696	protein-coding	729696
LOC283674	protein-coding	283674
LOC283112	protein-coding	283112
LOC649935	protein-coding	649935
LOC100131000	protein-coding	100131000
LOC729545	protein-coding	729545
LOC100129311	protein-coding	100129311
LOC100134240	protein-coding	100134240
LOC157503	protein-coding	157503
LOC100132418	protein-coding	100132418
LOC158863	protein-coding	158863
LOC100134301	protein-coding	100134301
LOC100129974	protein-coding	100129974
LOC101060604	protein-coding	101060604
FLJ13773	protein-coding	246318
LOC100128107	protein-coding	100128107
LOC284669	protein-coding	284669
LOC100129763	protein-coding	100129763
FLJ12120	protein-coding	388439
LOC100131099	protein-coding	100131099
LOC729353	protein-coding	729353
LOC728100	protein-coding	728100
LOC100128591	protein-coding	100128591
LOC100130101	protein-coding	100130101
LOC100130463	protein-coding	100130463
LOC399884	protein-coding	399884
LOC100129408	protein-coding	100129408
LOC200830	protein-coding	200830
LOC100131032	protein-coding	100131032
LOC100128437	protein-coding	100128437
LOC100132006	protein-coding	100132006
LOC100130276	protein-coding	100130276
LOC100129397	protein-coding	100129397
LOC286382	protein-coding	286382
LOC219688	protein-coding	219688
LOC283484	protein-coding	283484
LOC100130314	protein-coding	100130314
LOC100129069	protein-coding	100129069
LOC101060181	protein-coding	101060181
LOC102723503	protein-coding	102723503
LOC100129275	protein-coding	100129275
LOC101930168	protein-coding	101930168
LOC653380	protein-coding	653380
LOC100133145	protein-coding	100133145
LOC221814	protein-coding	221814
LOC100128274	protein-coding	100128274
LOC283713	protein-coding	283713
LOC100128498	protein-coding	100128498
DKFZP564C152	protein-coding	26120
LOC100127971	protein-coding	100127971
LOC284630	protein-coding	284630
LOC391230	protein-coding	391230
LOC100128851	protein-coding	100128851
LOC100129322	protein-coding	100129322
LOC100131822	protein-coding	100131822
LOC100128265	protein-coding	100128265
LOC100129721	protein-coding	100129721
LOC100130920	protein-coding	100130920
LOC100996721	protein-coding	100996721
LOC286058	protein-coding	286058
LOC100131719	protein-coding	100131719
LOC100130057	protein-coding	100130057
LOC100130560	protein-coding	100130560
LOC100128088	protein-coding	100128088
LOC100130654	protein-coding	100130654
D21S2090E	protein-coding	266918
LOC100129380	protein-coding	100129380
LOC100128668	protein-coding	100128668
LOC100129846	protein-coding	100129846
LOC283357	protein-coding	283357
LOC100506242	protein-coding	100506242
LOC441347	protein-coding	441347
LOC643520	protein-coding	643520
LOC100130857	protein-coding	100130857
LOC100509091	protein-coding	100509091
LOC102724828	protein-coding	102724828
LOC389405	protein-coding	389405
LOC100288675	protein-coding	100288675
LOC101060386	protein-coding	101060386
LOC101929970	protein-coding	101929970
LOC101930165	protein-coding	101930165
LOC100996747	protein-coding	100996747
LOC100129126	protein-coding	100129126
LOC100130657	protein-coding	100130657
LOC100506944	protein-coding	100506944
LOC100132495	protein-coding	100132495
LOC200609	protein-coding	200609
LOC100128517	protein-coding	100128517
LOC100131310	protein-coding	100131310
LOC727961	protein-coding	727961
LOC100131907	protein-coding	100131907
LOC100130372	protein-coding	100130372
LOC283475	protein-coding	283475
LOC100131821	protein-coding	100131821
LOC644257	protein-coding	644257
LOC100129280	protein-coding	100129280
LOC286191	protein-coding	286191
LOC100129171	protein-coding	100129171
LOC285378	protein-coding	285378
LOC285178	protein-coding	285178
LOC100131599	protein-coding	100131599
LOC100128348	protein-coding	100128348
LOC100131129	protein-coding	100131129
LOC100131878	protein-coding	100131878
LOC100127991	protein-coding	100127991
DKFZP686M1136	protein-coding	399832
