hgnc_id	symbol	locus_group	locus_type	entrez_id
HGNC:5	A1BG	protein-coding gene	gene with protein product	1
HGNC:37133	A1BG-AS1	non-coding RNA	RNA, long non-coding	503538
HGNC:24086	A1CF	protein-coding gene	gene with protein product	29974
HGNC:7	A2M	protein-coding gene	gene with protein product	2
HGNC:27057	A2M-AS1	non-coding RNA	RNA, long non-coding	144571
HGNC:23336	A2ML1	protein-coding gene	gene with protein product	144568
HGNC:41022	A2ML1-AS1	non-coding RNA	RNA, long non-coding	100874108
HGNC:41523	A2ML1-AS2	non-coding RNA	RNA, long non-coding	106478979
HGNC:8	A2MP1	pseudogene	pseudogene	3
HGNC:30005	A3GALT2	protein-coding gene	gene with protein product	127550
HGNC:18149	A4GALT	protein-coding gene	gene with protein product	53947
HGNC:17968	A4GNT	protein-coding gene	gene with protein product	51146
HGNC:13666	AAAS	protein-coding gene	gene with protein product	8086
HGNC:21298	AACS	protein-coding gene	gene with protein product	65985
HGNC:18226	AACSP1	pseudogene	pseudogene	729522
HGNC:17	AADAC	protein-coding gene	gene with protein product	13
HGNC:24427	AADACL2	protein-coding gene	gene with protein product	344752
HGNC:50301	AADACL2-AS1	non-coding RNA	RNA, long non-coding	101928142
HGNC:32037	AADACL3	protein-coding gene	gene with protein product	126767
HGNC:32038	AADACL4	protein-coding gene	gene with protein product	343066
HGNC:50305	AADACP1	pseudogene	pseudogene	201651
HGNC:17929	AADAT	protein-coding gene	gene with protein product	51166
HGNC:25662	AAGAB	protein-coding gene	gene with protein product	79719
HGNC:19679	AAK1	protein-coding gene	gene with protein product	22848
HGNC:30205	AAMDC	protein-coding gene	gene with protein product	28971
HGNC:18	AAMP	protein-coding gene	gene with protein product	14
HGNC:19	AANAT	protein-coding gene	gene with protein product	15
HGNC:15886	AAR2	protein-coding gene	gene with protein product	25980
HGNC:33842	AARD	protein-coding gene	gene with protein product	441376
HGNC:20	AARS1	protein-coding gene	gene with protein product	16
HGNC:49894	AARS1P1	pseudogene	pseudogene	106480683
HGNC:21022	AARS2	protein-coding gene	gene with protein product	57505
HGNC:28417	AARSD1	protein-coding gene	gene with protein product	80755
HGNC:54994	AARSD1P1	pseudogene	pseudogene	117981788
HGNC:23993	AASDH	protein-coding gene	gene with protein product	132949
HGNC:14235	AASDHPPT	protein-coding gene	gene with protein product	60496
HGNC:17366	AASS	protein-coding gene	gene with protein product	10157
HGNC:51526	AATBC	non-coding RNA	RNA, long non-coding	284837
HGNC:19235	AATF	protein-coding gene	gene with protein product	26574
HGNC:21	AATK	protein-coding gene	gene with protein product	9625
HGNC:22	AAVS1	other	virus integration site	17
HGNC:49667	ABALON	non-coding RNA	RNA, long non-coding	103021294
HGNC:23	ABAT	protein-coding gene	gene with protein product	18
HGNC:29	ABCA1	protein-coding gene	gene with protein product	19
HGNC:32	ABCA2	protein-coding gene	gene with protein product	20
HGNC:33	ABCA3	protein-coding gene	gene with protein product	21
HGNC:34	ABCA4	protein-coding gene	gene with protein product	24
HGNC:35	ABCA5	protein-coding gene	gene with protein product	23461
HGNC:36	ABCA6	protein-coding gene	gene with protein product	23460
HGNC:37	ABCA7	protein-coding gene	gene with protein product	10347
HGNC:38	ABCA8	protein-coding gene	gene with protein product	10351
HGNC:39	ABCA9	protein-coding gene	gene with protein product	10350
HGNC:39983	ABCA9-AS1	non-coding RNA	RNA, long non-coding	104355297
HGNC:30	ABCA10	protein-coding gene	gene with protein product	10349
HGNC:31	ABCA11P	pseudogene	pseudogene	79963
HGNC:14637	ABCA12	protein-coding gene	gene with protein product	26154
HGNC:14638	ABCA13	protein-coding gene	gene with protein product	154664
HGNC:32972	ABCA17P	pseudogene	pseudogene	650655
HGNC:40	ABCB1	protein-coding gene	gene with protein product	5243
HGNC:45	ABCB4	protein-coding gene	gene with protein product	5244
HGNC:46	ABCB5	protein-coding gene	gene with protein product	340273
HGNC:47	ABCB6	protein-coding gene	gene with protein product	10058
HGNC:48	ABCB7	protein-coding gene	gene with protein product	22
HGNC:49	ABCB8	protein-coding gene	gene with protein product	11194
HGNC:50	ABCB9	protein-coding gene	gene with protein product	23457
HGNC:41	ABCB10	protein-coding gene	gene with protein product	23456
HGNC:14114	ABCB10P1	pseudogene	pseudogene	56476
HGNC:31129	ABCB10P3	pseudogene	pseudogene	728248
HGNC:31130	ABCB10P4	pseudogene	pseudogene	100132289
HGNC:42	ABCB11	protein-coding gene	gene with protein product	8647
HGNC:51	ABCC1	protein-coding gene	gene with protein product	4363
HGNC:53	ABCC2	protein-coding gene	gene with protein product	1244
HGNC:54	ABCC3	protein-coding gene	gene with protein product	8714
HGNC:55	ABCC4	protein-coding gene	gene with protein product	10257
HGNC:56	ABCC5	protein-coding gene	gene with protein product	10057
HGNC:40055	ABCC5-AS1	non-coding RNA	RNA, long non-coding	100873982
HGNC:57	ABCC6	protein-coding gene	gene with protein product	368
HGNC:33352	ABCC6P1	pseudogene	pseudogene	653190
HGNC:33353	ABCC6P2	pseudogene	pseudogene	730013
HGNC:59	ABCC8	protein-coding gene	gene with protein product	6833
HGNC:60	ABCC9	protein-coding gene	gene with protein product	10060
HGNC:52	ABCC10	protein-coding gene	gene with protein product	89845
HGNC:14639	ABCC11	protein-coding gene	gene with protein product	85320
HGNC:14640	ABCC12	protein-coding gene	gene with protein product	94160
HGNC:16022	ABCC13	pseudogene	pseudogene	150000
HGNC:61	ABCD1	protein-coding gene	gene with protein product	215
HGNC:62	ABCD1P1	pseudogene	pseudogene	23785
HGNC:63	ABCD1P2	pseudogene	pseudogene	26983
HGNC:64	ABCD1P3	pseudogene	pseudogene	26982
HGNC:65	ABCD1P4	pseudogene	pseudogene	26957
HGNC:42662	ABCD1P5	pseudogene	pseudogene	642762
HGNC:66	ABCD2	protein-coding gene	gene with protein product	225
HGNC:67	ABCD3	protein-coding gene	gene with protein product	5825
HGNC:68	ABCD4	protein-coding gene	gene with protein product	5826
HGNC:69	ABCE1	protein-coding gene	gene with protein product	6059
HGNC:70	ABCF1	protein-coding gene	gene with protein product	23
HGNC:53628	ABCF1-DT	non-coding RNA	RNA, long non-coding	107986587
HGNC:71	ABCF2	protein-coding gene	gene with protein product	10061
HGNC:54751	ABCF2-H2BE1	other	readthrough	114483834
HGNC:48841	ABCF2P1	pseudogene	pseudogene	344653
HGNC:48842	ABCF2P2	pseudogene	pseudogene	100422059
HGNC:72	ABCF3	protein-coding gene	gene with protein product	55324
HGNC:73	ABCG1	protein-coding gene	gene with protein product	9619
HGNC:74	ABCG2	protein-coding gene	gene with protein product	9429
HGNC:13884	ABCG4	protein-coding gene	gene with protein product	64137
HGNC:13886	ABCG5	protein-coding gene	gene with protein product	64240
HGNC:13887	ABCG8	protein-coding gene	gene with protein product	64241
HGNC:17553	ABHD1	protein-coding gene	gene with protein product	84696
HGNC:18717	ABHD2	protein-coding gene	gene with protein product	11057
HGNC:18718	ABHD3	protein-coding gene	gene with protein product	171586
HGNC:20154	ABHD4	protein-coding gene	gene with protein product	63874
HGNC:21396	ABHD5	protein-coding gene	gene with protein product	51099
HGNC:21398	ABHD6	protein-coding gene	gene with protein product	57406
HGNC:23759	ABHD8	protein-coding gene	gene with protein product	79575
HGNC:25656	ABHD10	protein-coding gene	gene with protein product	55347
HGNC:16407	ABHD11	protein-coding gene	gene with protein product	83451
HGNC:18289	ABHD11-AS1	non-coding RNA	RNA, long non-coding	171022
HGNC:15868	ABHD12	protein-coding gene	gene with protein product	26090
HGNC:19837	ABHD12B	protein-coding gene	gene with protein product	145447
HGNC:20293	ABHD13	protein-coding gene	gene with protein product	84945
HGNC:24538	ABHD14A	protein-coding gene	gene with protein product	25864
HGNC:38856	ABHD14A-ACY1	other	readthrough	100526760
HGNC:28235	ABHD14B	protein-coding gene	gene with protein product	84836
HGNC:26971	ABHD15	protein-coding gene	gene with protein product	116236
HGNC:49685	ABHD15-AS1	non-coding RNA	RNA, long non-coding	104355133
HGNC:13921	ABHD16A	protein-coding gene	gene with protein product	7920
HGNC:16128	ABHD16B	protein-coding gene	gene with protein product	140701
HGNC:28756	ABHD17A	protein-coding gene	gene with protein product	81926
HGNC:28394	ABHD17AP1	pseudogene	pseudogene	728917
HGNC:34041	ABHD17AP3	pseudogene	pseudogene	648359
HGNC:34042	ABHD17AP4	pseudogene	pseudogene	729495
HGNC:34043	ABHD17AP5	pseudogene	pseudogene	91219
HGNC:34044	ABHD17AP6	pseudogene	pseudogene	644988
HGNC:38508	ABHD17AP7	pseudogene	pseudogene	100133212
HGNC:38509	ABHD17AP8	pseudogene	pseudogene	647144
HGNC:38510	ABHD17AP9	pseudogene	pseudogene	100132251
HGNC:24278	ABHD17B	protein-coding gene	gene with protein product	51104
HGNC:26925	ABHD17C	protein-coding gene	gene with protein product	58489
HGNC:26111	ABHD18	protein-coding gene	gene with protein product	80167
HGNC:11320	ABI1	protein-coding gene	gene with protein product	10006
HGNC:20035	ABI1P1	pseudogene	pseudogene	326268
HGNC:24011	ABI2	protein-coding gene	gene with protein product	10152
HGNC:29859	ABI3	protein-coding gene	gene with protein product	51225
HGNC:17265	ABI3BP	protein-coding gene	gene with protein product	25890
HGNC:1364	ABITRAM	protein-coding gene	gene with protein product	54942
HGNC:39851	ABITRAMP1	pseudogene	pseudogene	390403
HGNC:76	ABL1	protein-coding gene	gene with protein product	25
HGNC:77	ABL2	protein-coding gene	gene with protein product	27
HGNC:78	ABLIM1	protein-coding gene	gene with protein product	3983
HGNC:19195	ABLIM2	protein-coding gene	gene with protein product	84448
HGNC:29132	ABLIM3	protein-coding gene	gene with protein product	22885
HGNC:79	ABO	protein-coding gene	gene with protein product	28
HGNC:81	ABR	protein-coding gene	gene with protein product	29
HGNC:30655	ABRA	protein-coding gene	gene with protein product	137735
HGNC:21230	ABRACL	protein-coding gene	gene with protein product	58527
HGNC:25829	ABRAXAS1	protein-coding gene	gene with protein product	84142
HGNC:28975	ABRAXAS2	protein-coding gene	gene with protein product	23172
HGNC:17369	ABT1	protein-coding gene	gene with protein product	29777
HGNC:39557	ABT1P1	pseudogene	pseudogene	100420695
HGNC:18275	ABTB1	protein-coding gene	gene with protein product	80325
HGNC:23842	ABTB2	protein-coding gene	gene with protein product	25841
HGNC:82	ACAA1	protein-coding gene	gene with protein product	30
HGNC:83	ACAA2	protein-coding gene	gene with protein product	10449
HGNC:84	ACACA	protein-coding gene	gene with protein product	31
HGNC:85	ACACB	protein-coding gene	gene with protein product	32
HGNC:87	ACAD8	protein-coding gene	gene with protein product	27034
HGNC:21497	ACAD9	protein-coding gene	gene with protein product	28976
HGNC:21597	ACAD10	protein-coding gene	gene with protein product	80724
HGNC:30211	ACAD11	protein-coding gene	gene with protein product	84129
HGNC:88	ACADL	protein-coding gene	gene with protein product	33
HGNC:89	ACADM	protein-coding gene	gene with protein product	34
HGNC:90	ACADS	protein-coding gene	gene with protein product	35
HGNC:91	ACADSB	protein-coding gene	gene with protein product	36
HGNC:92	ACADVL	protein-coding gene	gene with protein product	37
HGNC:319	ACAN	protein-coding gene	gene with protein product	176
HGNC:16467	ACAP1	protein-coding gene	gene with protein product	9744
HGNC:16469	ACAP2	protein-coding gene	gene with protein product	23527
HGNC:41426	ACAP2-IT1	non-coding RNA	RNA, long non-coding	100874306
HGNC:16754	ACAP3	protein-coding gene	gene with protein product	116983
HGNC:93	ACAT1	protein-coding gene	gene with protein product	38
HGNC:94	ACAT2	protein-coding gene	gene with protein product	39
HGNC:15453	ACBD3	protein-coding gene	gene with protein product	64746
HGNC:40701	ACBD3-AS1	non-coding RNA	RNA, long non-coding	107985353
HGNC:23337	ACBD4	protein-coding gene	gene with protein product	79777
HGNC:23338	ACBD5	protein-coding gene	gene with protein product	91452
HGNC:23339	ACBD6	protein-coding gene	gene with protein product	84320
HGNC:17715	ACBD7	protein-coding gene	gene with protein product	414149
HGNC:23989	ACCS	protein-coding gene	gene with protein product	84680
HGNC:34391	ACCSL	protein-coding gene	gene with protein product	390110
HGNC:25070	ACD	protein-coding gene	gene with protein product	65057
HGNC:2707	ACE	protein-coding gene	gene with protein product	1636
HGNC:13557	ACE2	protein-coding gene	gene with protein product	59272
HGNC:44365	ACE3P	pseudogene	pseudogene	100129123
HGNC:18356	ACER1	protein-coding gene	gene with protein product	125981
HGNC:23675	ACER2	protein-coding gene	gene with protein product	340485
HGNC:54674	ACER2P1	pseudogene	pseudogene	645978
HGNC:16066	ACER3	protein-coding gene	gene with protein product	55331
HGNC:108	ACHE	protein-coding gene	gene with protein product	43
HGNC:17066	ACIN1	protein-coding gene	gene with protein product	22985
HGNC:4035	ACKR1	protein-coding gene	gene with protein product	2532
HGNC:1565	ACKR2	protein-coding gene	gene with protein product	1238
HGNC:23692	ACKR3	protein-coding gene	gene with protein product	57007
HGNC:1611	ACKR4	protein-coding gene	gene with protein product	51554
HGNC:21142	ACKR4P1	pseudogene	pseudogene	285737
HGNC:115	ACLY	protein-coding gene	gene with protein product	47
HGNC:19288	ACMSD	protein-coding gene	gene with protein product	130013
HGNC:34504	ACNATP	pseudogene	pseudogene	347275
HGNC:117	ACO1	protein-coding gene	gene with protein product	48
HGNC:118	ACO2	protein-coding gene	gene with protein product	50
HGNC:33904	ACOD1	protein-coding gene	gene with protein product	730249
HGNC:33128	ACOT1	protein-coding gene	gene with protein product	641371
HGNC:18431	ACOT2	protein-coding gene	gene with protein product	10965
HGNC:19748	ACOT4	protein-coding gene	gene with protein product	122970
HGNC:33159	ACOT6	protein-coding gene	gene with protein product	641372
HGNC:24157	ACOT7	protein-coding gene	gene with protein product	11332
HGNC:15919	ACOT8	protein-coding gene	gene with protein product	10005
HGNC:17152	ACOT9	protein-coding gene	gene with protein product	23597
HGNC:18156	ACOT11	protein-coding gene	gene with protein product	26027
HGNC:24436	ACOT12	protein-coding gene	gene with protein product	134526
HGNC:20999	ACOT13	protein-coding gene	gene with protein product	55856
HGNC:119	ACOX1	protein-coding gene	gene with protein product	51
HGNC:120	ACOX2	protein-coding gene	gene with protein product	8309
HGNC:121	ACOX3	protein-coding gene	gene with protein product	8310
HGNC:25621	ACOXL	protein-coding gene	gene with protein product	55289
HGNC:41112	ACOXL-AS1	non-coding RNA	RNA, long non-coding	400997
HGNC:122	ACP1	protein-coding gene	gene with protein product	52
HGNC:123	ACP2	protein-coding gene	gene with protein product	53
HGNC:125	ACP3	protein-coding gene	gene with protein product	55
HGNC:14376	ACP4	protein-coding gene	gene with protein product	93650
HGNC:124	ACP5	protein-coding gene	gene with protein product	54
HGNC:29609	ACP6	protein-coding gene	gene with protein product	51205
HGNC:33781	ACP7	protein-coding gene	gene with protein product	390928
HGNC:126	ACR	protein-coding gene	gene with protein product	49
HGNC:17195	ACRBP	protein-coding gene	gene with protein product	84519
HGNC:54745	ACRP1	pseudogene	pseudogene	645529
HGNC:127	ACRV1	protein-coding gene	gene with protein product	56
HGNC:29567	ACSBG1	protein-coding gene	gene with protein product	23205
HGNC:24174	ACSBG2	protein-coding gene	gene with protein product	81616
HGNC:26101	ACSF2	protein-coding gene	gene with protein product	80221
HGNC:27288	ACSF3	protein-coding gene	gene with protein product	197322
HGNC:3569	ACSL1	protein-coding gene	gene with protein product	2180
HGNC:3570	ACSL3	protein-coding gene	gene with protein product	2181
HGNC:40227	ACSL3-AS1	non-coding RNA	RNA, long non-coding	105373904
HGNC:3571	ACSL4	protein-coding gene	gene with protein product	2182
HGNC:16526	ACSL5	protein-coding gene	gene with protein product	51703
HGNC:16496	ACSL6	protein-coding gene	gene with protein product	23305
HGNC:40772	ACSL6-AS1	non-coding RNA	RNA, long non-coding	101927693
HGNC:18049	ACSM1	protein-coding gene	gene with protein product	116285
HGNC:32017	ACSM2A	protein-coding gene	gene with protein product	123876
HGNC:30931	ACSM2B	protein-coding gene	gene with protein product	348158
HGNC:10522	ACSM3	protein-coding gene	gene with protein product	6296
HGNC:32016	ACSM4	protein-coding gene	gene with protein product	341392
HGNC:26060	ACSM5	protein-coding gene	gene with protein product	54988
HGNC:51295	ACSM5P1	pseudogene	pseudogene	100421779
HGNC:31665	ACSM6	protein-coding gene	gene with protein product	142827
HGNC:16091	ACSS1	protein-coding gene	gene with protein product	84532
HGNC:15814	ACSS2	protein-coding gene	gene with protein product	55902
HGNC:24723	ACSS3	protein-coding gene	gene with protein product	79611
HGNC:129	ACTA1	protein-coding gene	gene with protein product	58
HGNC:130	ACTA2	protein-coding gene	gene with protein product	59
HGNC:45169	ACTA2-AS1	non-coding RNA	RNA, long non-coding	100132116
HGNC:132	ACTB	protein-coding gene	gene with protein product	60
HGNC:17780	ACTBL2	protein-coding gene	gene with protein product	345651
HGNC:134	ACTBP1	pseudogene	pseudogene	643309
HGNC:135	ACTBP2	pseudogene	pseudogene	62
HGNC:136	ACTBP3	pseudogene	pseudogene	63
HGNC:137	ACTBP4	pseudogene	pseudogene	64
HGNC:139	ACTBP6	pseudogene	pseudogene	66
HGNC:140	ACTBP7	pseudogene	pseudogene	67
HGNC:141	ACTBP8	pseudogene	pseudogene	68
HGNC:142	ACTBP9	pseudogene	pseudogene	69
HGNC:31819	ACTBP10	pseudogene	pseudogene	446207
HGNC:33971	ACTBP11	pseudogene	pseudogene	644220
HGNC:150	ACTBP12	pseudogene	pseudogene	100462767
HGNC:45086	ACTBP14	pseudogene	pseudogene	389976
HGNC:55065	ACTBP15	pseudogene	pseudogene	391334
HGNC:143	ACTC1	protein-coding gene	gene with protein product	70
HGNC:51491	ACTE1P	pseudogene	pseudogene	399923
HGNC:144	ACTG1	protein-coding gene	gene with protein product	71
HGNC:146	ACTG1P1	pseudogene	pseudogene	73
HGNC:147	ACTG1P2	pseudogene	pseudogene	74
HGNC:148	ACTG1P3	pseudogene	pseudogene	75
HGNC:149	ACTG1P4	pseudogene	pseudogene	648740
HGNC:151	ACTG1P6	pseudogene	pseudogene	78
HGNC:152	ACTG1P7	pseudogene	pseudogene	79
HGNC:153	ACTG1P8	pseudogene	pseudogene	80
HGNC:154	ACTG1P9	pseudogene	pseudogene	82
HGNC:155	ACTG1P10	pseudogene	pseudogene	83
HGNC:37651	ACTG1P11	pseudogene	pseudogene	414754
HGNC:44496	ACTG1P12	pseudogene	pseudogene	100418921
HGNC:49058	ACTG1P13	pseudogene	pseudogene	100418920
HGNC:49751	ACTG1P14	pseudogene	pseudogene	100418910
HGNC:51495	ACTG1P15	pseudogene	pseudogene	100418951
HGNC:51496	ACTG1P16	pseudogene	pseudogene	100418960
HGNC:51497	ACTG1P17	pseudogene	pseudogene	283693
HGNC:51498	ACTG1P18	pseudogene	pseudogene	100418924
HGNC:51499	ACTG1P19	pseudogene	pseudogene	644160
HGNC:51500	ACTG1P20	pseudogene	pseudogene	644961
HGNC:51501	ACTG1P21	pseudogene	pseudogene	100131291
HGNC:51502	ACTG1P22	pseudogene	pseudogene	100131953
HGNC:51503	ACTG1P23	pseudogene	pseudogene	442097
HGNC:49661	ACTG1P24	pseudogene	pseudogene	441783
HGNC:54872	ACTG1P25	pseudogene	pseudogene	148709
HGNC:145	ACTG2	protein-coding gene	gene with protein product	72
HGNC:24124	ACTL6A	protein-coding gene	gene with protein product	86
HGNC:160	ACTL6B	protein-coding gene	gene with protein product	51412
HGNC:161	ACTL7A	protein-coding gene	gene with protein product	10881
HGNC:162	ACTL7B	protein-coding gene	gene with protein product	10880
HGNC:24018	ACTL8	protein-coding gene	gene with protein product	81569
HGNC:28494	ACTL9	protein-coding gene	gene with protein product	284382
HGNC:16127	ACTL10	protein-coding gene	gene with protein product	170487
HGNC:44626	ACTL11P	pseudogene	pseudogene	389120
HGNC:163	ACTN1	protein-coding gene	gene with protein product	87
HGNC:20131	ACTN1-AS1	non-coding RNA	RNA, long non-coding	161159
HGNC:164	ACTN2	protein-coding gene	gene with protein product	88
HGNC:165	ACTN3	protein-coding gene	gene with protein product	89
HGNC:166	ACTN4	protein-coding gene	gene with protein product	81
HGNC:44028	ACTN4P1	pseudogene	pseudogene	344978
HGNC:44032	ACTN4P2	pseudogene	pseudogene	391026
HGNC:51621	ACTP1	pseudogene	pseudogene	106480335
HGNC:167	ACTR1A	protein-coding gene	gene with protein product	10121
HGNC:54703	ACTR1AP1	pseudogene	pseudogene	100287074
HGNC:168	ACTR1B	protein-coding gene	gene with protein product	10120
HGNC:169	ACTR2	protein-coding gene	gene with protein product	10097
HGNC:170	ACTR3	protein-coding gene	gene with protein product	10096
HGNC:53965	ACTR3-AS1	non-coding RNA	RNA, long non-coding	101060091
HGNC:17256	ACTR3B	protein-coding gene	gene with protein product	57180
HGNC:37724	ACTR3BP1	pseudogene	pseudogene	643050
HGNC:38677	ACTR3BP2	pseudogene	pseudogene	440888
HGNC:38678	ACTR3BP3	pseudogene	pseudogene	647156
HGNC:38681	ACTR3BP4	pseudogene	pseudogene	777774
HGNC:38682	ACTR3BP5	pseudogene	pseudogene	399746
HGNC:38683	ACTR3BP6	pseudogene	pseudogene	644773
HGNC:54971	ACTR3BP7	pseudogene	pseudogene	100289004
HGNC:37282	ACTR3C	protein-coding gene	gene with protein product	653857
HGNC:31820	ACTR3P1	pseudogene	pseudogene	100288580
HGNC:38676	ACTR3P2	pseudogene	pseudogene	100129013
HGNC:38679	ACTR3P3	pseudogene	pseudogene	100128020
HGNC:14671	ACTR5	protein-coding gene	gene with protein product	79913
HGNC:24025	ACTR6	protein-coding gene	gene with protein product	64431
HGNC:44210	ACTR6P1	pseudogene	pseudogene	100421495
HGNC:14672	ACTR8	protein-coding gene	gene with protein product	93973
HGNC:17372	ACTR10	protein-coding gene	gene with protein product	55860
HGNC:24027	ACTRT1	protein-coding gene	gene with protein product	139741
HGNC:55127	ACTRT1P1	pseudogene	pseudogene	100128268
HGNC:24026	ACTRT2	protein-coding gene	gene with protein product	140625
HGNC:24022	ACTRT3	protein-coding gene	gene with protein product	84517
HGNC:171	ACVR1	protein-coding gene	gene with protein product	90
HGNC:172	ACVR1B	protein-coding gene	gene with protein product	91
HGNC:18123	ACVR1C	protein-coding gene	gene with protein product	130399
HGNC:173	ACVR2A	protein-coding gene	gene with protein product	92
HGNC:174	ACVR2B	protein-coding gene	gene with protein product	93
HGNC:44161	ACVR2B-AS1	non-coding RNA	RNA, long non-coding	100128640
HGNC:175	ACVRL1	protein-coding gene	gene with protein product	94
HGNC:177	ACY1	protein-coding gene	gene with protein product	95
HGNC:24104	ACY3	protein-coding gene	gene with protein product	91703
HGNC:179	ACYP1	protein-coding gene	gene with protein product	97
HGNC:180	ACYP2	protein-coding gene	gene with protein product	98
HGNC:186	ADA	protein-coding gene	gene with protein product	100
HGNC:1839	ADA2	protein-coding gene	gene with protein product	51816
HGNC:30713	ADAD1	protein-coding gene	gene with protein product	132612
HGNC:44550	ADAD1P1	pseudogene	pseudogene	100422386
HGNC:44552	ADAD1P2	pseudogene	pseudogene	100422407
HGNC:30714	ADAD2	protein-coding gene	gene with protein product	161931
HGNC:31853	ADAL	protein-coding gene	gene with protein product	161823
HGNC:187	ADAM1A	pseudogene	pseudogene	8759
HGNC:44366	ADAM1B	pseudogene	pseudogene	100420505
HGNC:198	ADAM2	protein-coding gene	gene with protein product	2515
HGNC:209	ADAM3A	pseudogene	pseudogene	1587
HGNC:210	ADAM3B	pseudogene	pseudogene	1596
HGNC:212	ADAM5	pseudogene	pseudogene	255926
HGNC:213	ADAM6	pseudogene	pseudogene	8755
HGNC:214	ADAM7	protein-coding gene	gene with protein product	8756
HGNC:215	ADAM8	protein-coding gene	gene with protein product	101
HGNC:216	ADAM9	protein-coding gene	gene with protein product	8754
HGNC:188	ADAM10	protein-coding gene	gene with protein product	102
HGNC:189	ADAM11	protein-coding gene	gene with protein product	4185
HGNC:190	ADAM12	protein-coding gene	gene with protein product	8038
HGNC:193	ADAM15	protein-coding gene	gene with protein product	8751
HGNC:195	ADAM17	protein-coding gene	gene with protein product	6868
HGNC:196	ADAM18	protein-coding gene	gene with protein product	8749
HGNC:197	ADAM19	protein-coding gene	gene with protein product	8728
HGNC:199	ADAM20	protein-coding gene	gene with protein product	8748
HGNC:20102	ADAM20P1	pseudogene	pseudogene	317760
HGNC:43901	ADAM20P2	pseudogene	pseudogene	100533671
HGNC:43902	ADAM20P3	pseudogene	pseudogene	644325
HGNC:200	ADAM21	protein-coding gene	gene with protein product	8747
HGNC:19822	ADAM21P1	pseudogene	pseudogene	145241
HGNC:201	ADAM22	protein-coding gene	gene with protein product	53616
HGNC:202	ADAM23	protein-coding gene	gene with protein product	8745
HGNC:203	ADAM24P	pseudogene	pseudogene	646479
HGNC:206	ADAM28	protein-coding gene	gene with protein product	10863
HGNC:207	ADAM29	protein-coding gene	gene with protein product	11086
HGNC:208	ADAM30	protein-coding gene	gene with protein product	11085
HGNC:15479	ADAM32	protein-coding gene	gene with protein product	203102
HGNC:15478	ADAM33	protein-coding gene	gene with protein product	80332
HGNC:16299	ADAMDEC1	protein-coding gene	gene with protein product	27299
HGNC:217	ADAMTS1	protein-coding gene	gene with protein product	9510
HGNC:218	ADAMTS2	protein-coding gene	gene with protein product	9509
HGNC:219	ADAMTS3	protein-coding gene	gene with protein product	9508
HGNC:220	ADAMTS4	protein-coding gene	gene with protein product	9507
HGNC:221	ADAMTS5	protein-coding gene	gene with protein product	11096
HGNC:222	ADAMTS6	protein-coding gene	gene with protein product	11174
HGNC:223	ADAMTS7	protein-coding gene	gene with protein product	11173
HGNC:49407	ADAMTS7P1	pseudogene	pseudogene	390660
HGNC:49409	ADAMTS7P3	pseudogene	pseudogene	400406
HGNC:49410	ADAMTS7P4	pseudogene	pseudogene	642935
HGNC:224	ADAMTS8	protein-coding gene	gene with protein product	11095
HGNC:13202	ADAMTS9	protein-coding gene	gene with protein product	56999
HGNC:40625	ADAMTS9-AS1	non-coding RNA	RNA, long non-coding	101929335
HGNC:42435	ADAMTS9-AS2	non-coding RNA	RNA, long non-coding	100507098
HGNC:13201	ADAMTS10	protein-coding gene	gene with protein product	81794
HGNC:14605	ADAMTS12	protein-coding gene	gene with protein product	81792
HGNC:1366	ADAMTS13	protein-coding gene	gene with protein product	11093
HGNC:14899	ADAMTS14	protein-coding gene	gene with protein product	140766
HGNC:16305	ADAMTS15	protein-coding gene	gene with protein product	170689
HGNC:17108	ADAMTS16	protein-coding gene	gene with protein product	170690
HGNC:17109	ADAMTS17	protein-coding gene	gene with protein product	170691
HGNC:17110	ADAMTS18	protein-coding gene	gene with protein product	170692
HGNC:17111	ADAMTS19	protein-coding gene	gene with protein product	171019
HGNC:40797	ADAMTS19-AS1	non-coding RNA	RNA, long non-coding	103689846
HGNC:17178	ADAMTS20	protein-coding gene	gene with protein product	80070
HGNC:14632	ADAMTSL1	protein-coding gene	gene with protein product	92949
HGNC:14631	ADAMTSL2	protein-coding gene	gene with protein product	9719
HGNC:14633	ADAMTSL3	protein-coding gene	gene with protein product	57188
HGNC:19706	ADAMTSL4	protein-coding gene	gene with protein product	54507
HGNC:32041	ADAMTSL4-AS1	non-coding RNA	RNA, long non-coding	574406
HGNC:40895	ADAMTSL4-AS2	non-coding RNA	RNA, long non-coding	100289061
HGNC:27912	ADAMTSL5	protein-coding gene	gene with protein product	339366
HGNC:16486	ADAP1	protein-coding gene	gene with protein product	11033
HGNC:16487	ADAP2	protein-coding gene	gene with protein product	55803
HGNC:225	ADAR	protein-coding gene	gene with protein product	103
HGNC:226	ADARB1	protein-coding gene	gene with protein product	104
HGNC:227	ADARB2	protein-coding gene	gene with protein product	105
HGNC:23299	ADARB2-AS1	non-coding RNA	RNA, long non-coding	642394
HGNC:228	ADAT1	protein-coding gene	gene with protein product	23536
HGNC:21172	ADAT2	protein-coding gene	gene with protein product	134637
HGNC:25151	ADAT3	protein-coding gene	gene with protein product	113179
HGNC:19038	ADCK1	protein-coding gene	gene with protein product	57143
HGNC:19039	ADCK2	protein-coding gene	gene with protein product	90956
