hgnc_id	symbol	locus_group	locus_type	entrez_id
HGNC:23734	PTF1A	protein-coding gene	gene with protein product	256297
HGNC:9591	PTGDR	protein-coding gene	gene with protein product	5729
HGNC:4502	PTGDR2	protein-coding gene	gene with protein product	11251
HGNC:9592	PTGDS	protein-coding gene	gene with protein product	5730
HGNC:9593	PTGER1	protein-coding gene	gene with protein product	5731
HGNC:9594	PTGER2	protein-coding gene	gene with protein product	5732
HGNC:9595	PTGER3	protein-coding gene	gene with protein product	5733
HGNC:9596	PTGER4	protein-coding gene	gene with protein product	5734
HGNC:9597	PTGER4P1	pseudogene	pseudogene	5735
HGNC:9598	PTGER4P2	pseudogene	pseudogene	5736
HGNC:44749	PTGER4P2-CDK2AP2P2	other	readthrough	442421
HGNC:38498	PTGER4P3	pseudogene	pseudogene	100874378
HGNC:9599	PTGES	protein-coding gene	gene with protein product	9536
HGNC:17822	PTGES2	protein-coding gene	gene with protein product	80142
HGNC:48711	PTGES2-AS1	non-coding RNA	RNA, long non-coding	389791
HGNC:16049	PTGES3	protein-coding gene	gene with protein product	10728
HGNC:43943	PTGES3L	protein-coding gene	gene with protein product	100885848
HGNC:43946	PTGES3L-AARSD1	other	readthrough	100885850
HGNC:43824	PTGES3P1	pseudogene	pseudogene	284672
HGNC:43822	PTGES3P2	pseudogene	pseudogene	101929293
HGNC:43823	PTGES3P3	pseudogene	pseudogene	441050
HGNC:43825	PTGES3P4	pseudogene	pseudogene	106480775
HGNC:43826	PTGES3P5	pseudogene	pseudogene	106480359
HGNC:9600	PTGFR	protein-coding gene	gene with protein product	5737
HGNC:9601	PTGFRN	protein-coding gene	gene with protein product	5738
HGNC:9602	PTGIR	protein-coding gene	gene with protein product	5739
HGNC:9603	PTGIS	protein-coding gene	gene with protein product	5740
HGNC:18429	PTGR1	protein-coding gene	gene with protein product	22949
HGNC:20149	PTGR2	protein-coding gene	gene with protein product	145482
HGNC:9604	PTGS1	protein-coding gene	gene with protein product	5742
HGNC:9605	PTGS2	protein-coding gene	gene with protein product	5743
HGNC:9606	PTH	protein-coding gene	gene with protein product	5741
HGNC:9608	PTH1R	protein-coding gene	gene with protein product	5745
HGNC:30828	PTH2	protein-coding gene	gene with protein product	113091
HGNC:9609	PTH2R	protein-coding gene	gene with protein product	5746
HGNC:9607	PTHLH	protein-coding gene	gene with protein product	5744
HGNC:9611	PTK2	protein-coding gene	gene with protein product	5747
HGNC:9612	PTK2B	protein-coding gene	gene with protein product	2185
HGNC:9617	PTK6	protein-coding gene	gene with protein product	5753
HGNC:9618	PTK7	protein-coding gene	gene with protein product	5754
HGNC:9623	PTMA	protein-coding gene	gene with protein product	5757
HGNC:9624	PTMAP1	pseudogene	pseudogene	5758
HGNC:9625	PTMAP2	pseudogene	pseudogene	5759
HGNC:9626	PTMAP3	pseudogene	pseudogene	5760
HGNC:9627	PTMAP4	pseudogene	pseudogene	5761
HGNC:9628	PTMAP5	pseudogene	pseudogene	150928
HGNC:16573	PTMAP6	pseudogene	pseudogene	170542
HGNC:20031	PTMAP7	pseudogene	pseudogene	326626
HGNC:42437	PTMAP8	pseudogene	pseudogene	728873
HGNC:34054	PTMAP9	pseudogene	pseudogene	100506248
HGNC:53978	PTMAP10	pseudogene	pseudogene	442727
HGNC:53979	PTMAP11	pseudogene	pseudogene	441454
HGNC:53982	PTMAP12	pseudogene	pseudogene	728026
HGNC:53983	PTMAP13	pseudogene	pseudogene	105371898
HGNC:53984	PTMAP14	pseudogene	pseudogene	105373140
HGNC:53985	PTMAP15	pseudogene	pseudogene	112935968
HGNC:9629	PTMS	protein-coding gene	gene with protein product	5763
HGNC:9630	PTN	protein-coding gene	gene with protein product	5764
HGNC:9632	PTOV1	protein-coding gene	gene with protein product	53635
HGNC:44174	PTOV1-AS1	non-coding RNA	RNA, long non-coding	100506033
HGNC:51284	PTOV1-AS2	non-coding RNA	RNA, long non-coding	101928378
HGNC:9634	PTP4A1	protein-coding gene	gene with protein product	7803
HGNC:41928	PTP4A1P1	pseudogene	pseudogene	100421652
HGNC:41929	PTP4A1P2	pseudogene	pseudogene	100499563
HGNC:41930	PTP4A1P3	pseudogene	pseudogene	100861469
HGNC:41931	PTP4A1P4	pseudogene	pseudogene	100129564
